Species_reconciled with updates and additions,growth form,seed size categorical: <10mm,seed size categorical: >10mm,leaf type,leaves lobed,leaf longevity,wood density species,wood density genus,wood density family,Height (m),leaf length minimum (mm),leaf length maximum (mm),leaf width minimum (mm),leaf width maximum (mm),seed length minimum (mm),seed length maximum (mm),seed width minimum (mm),seed width maximum (mm),seed breadth (mm)
Peripentadenia mearsii,tree,0,1,simple,no,evergreen,,,513,30,50,150,25,40,18,28,12,14,
Sloanea australis-parviflora,tree,1,1,simple,no,evergreen,455,487,513,35,120,200,40,100,9,10,6,8,
Sloanea macbrydei,tree,0,1,simple,no,evergreen,434,487,513,35,45,210,20,60,11,13,7,9,
Sloanea woollsii,tree,1,1,simple,no,evergreen,533.2,,,45,70,190,20,60,5,6,4,4,
Acrotriche aggregata,shrub,1,0,simple,no,evergreen,,,,3,7,34,1,7,2,3,2,3,
Acrotriche baileyana,shrub,1,0,simple,no,evergreen,,,,4,13,30,5,9,2,3,2,3,
Paphia meiniana,shrub,1,0,simple,no,evergreen,,,,4,30,115,15,40,0.2,0.3,0.2,0.3,
Archeria eriocarpa,shrub,1,0,simple,no,evergreen,,,,4,6,9,3,5,0.3,0.5,0.2,0.3,
Dracophyllum milliganii,shrub,1,0,simple,no,evergreen,,,,4,150,900,10,30,0.4,0.5,0.3,0.4,
Epacris mucronulata,shrub,1,0,simple,no,evergreen,,,,2,8,12,3,4,0.4,0.5,0.3,0.4,
Gaultheria appressa,shrub,1,0,simple,no,evergreen,,,,2,30,80,10,30,0.5,1,0.3,0.5,
Gaultheria viridicarpa,shrub,1,0,simple,no,evergreen,,,,1,15,60,6,20,0.5,1,0.3,0.5,
Leucopogon lamingtonensis,shrub,1,0,simple,no,evergreen,,,,6,60,100,10,20,1,2,1,1,
Leucopogon lavarackii,shrub,1,0,simple,no,evergreen,,,,3,7,15,2,3,2,4,1,2,
Leucopogon maccraei,shrub,1,0,simple,no,evergreen,,,,2,4,7,2,5,1,2,1,2,
Leucopogon malayanus-novoguineensis,tree,1,0,simple,no,evergreen,,,,15,30,250,8,35,4,7,4,7,
Leucopogon ruscifolius,shrub,1,0,simple,no,evergreen,,,,5,5,13,3,5,2,2,2,2,
Acrothamnus spathaceus,shrub,1,0,simple,no,evergreen,,,,10,5,20,1,5,3,4,3,4,
Leucopogon yorkensis,shrub,1,0,simple,no,evergreen,,,,10,6,12,1,3,2,5,2,5,
Rhododendron lochiae,shrub,1,1,simple,no,evergreen,,,,6,40,120,10,70,2,5,1,1,
Rhododendron viriosum,shrub,1,1,simple,no,evergreen,,,,3,25,110,10,70,3,4,1,1,
Richea dracophylla,shrub,1,0,simple,no,evergreen,,,,5,150,300,10,35,0.5,1,0.5,1,
Richea pandanifolia_pandanifoia,tree,1,0,simple,no,evergreen,,,,12,300,1500,25,35,0.5,1,0.5,1,
Richea pandanifolia_ramulosa,shrub,1,0,simple,no,evergreen,,,,4,300,1500,25,35,0.5,1,0.5,1,
Trochocarpa bellendenkerensis,tree,1,0,simple,no,evergreen,,,,7,30,70,10,20,1,2,1,1,
Trochocarpa laurina,tree,1,0,simple,no,evergreen,774,,,13,50,70,20,35,1,2,1,1,
Trochocarpa montana,tree,1,0,simple,no,evergreen,,,,10,15,40,6,20,1,2,1,1,
Trochocarpa cunninghamii,shrub,1,0,simple,no,evergreen,,,,3,7,10,3,4,1,2,1,1,
Trochocarpa disticha,shrub,1,0,simple,no,evergreen,,,,4,15,20,3,5,1,2,1,1,
Trochocarpa gunnii,tree,1,0,simple,no,evergreen,,,,6,7,10,3,4,1,2,1,1,
Erythroxylum australe,tree,1,0,simple,no,evergreen,,,,8,5,24,3,8,5,6,3,4,
Erythroxylum Brewer,tree,0,1,simple,no,evergreen,,,,25,55,140,18,46,10,14,4,4,
Erythroxylum Mosquito-Point,tree,1,0,simple,yes,evergreen,,,,7,60,140,38,65,7,7,3,4,
Erythroxylum Splityard-Creek,tree,1,0,simple,no,evergreen,,,,8,15,40,6,18,5,6,2,3,
Anopterus glandulosus,shrub,0,1,simple,no,evergreen,,,,4,70,170,20,40,3,4,1,2,
Anopterus macleayanus,tree,0,1,simple,no,evergreen,,,,10,100,300,20,40,3,4,1,2,
Acalypha Big-Scrub,shrub,1,0,simple,no,evergreen,,,,2,4,25,2.5,11,1,1,1,1,
Acalypha capillipes,shrub,1,0,simple,no,evergreen,,,,2,4,25,2.5,11,1,1,1,1,
Acalypha eremorum,shrub,1,0,simple,yes,evergreen,,,566,4,3,35,2,15,2,2,1,1,
Acalypha lyonsii,shrub,1,0,simple,yes,evergreen,,,566,4,6,45,5,25,2,2,1,1,
Acalypha nemorum,shrub,1,0,simple,no,evergreen,,,566,4,15,150,4,60,2,2,1,2,
Alchornea ilicifolia,tree,1,0,simple,yes,evergreen,,,566,7,12,120,10,90,3,5,6,7,
Alchornea rugosa,tree,1,0,simple,no,evergreen,,,566,5,35,270,15,110,3,6,6,7,
Alchornea thozetiana,shrub,1,0,simple,no,evergreen,,,566,5,15,200,20,90,5,6,6,7,
Aleurites moluccana,tree,0,1,simple,no,evergreen,390,390,566,35,60,200,35,130,20,30,20,20,
Aleurites rockinghamensis,tree,0,1,simple,yes,evergreen,,390,566,40,110,400,70,300,20,25,15,20,
Antidesma bunius,tree,1,1,simple,no,evergreen,640,650,566,10,20,220,10,90,9,18,6,7,4
Antidesma erostre,tree,1,0,simple,no,evergreen,670,650,566,20,37,150,15,60,5,7,4,6,
Antidesma ghesaembilla,tree,1,0,simple,no,evergreen,,650,566,11,13,110,9,60,3,6,2,5,
Antidesma hylandii,tree,1,0,simple,no,evergreen,,650,566,8,40,175,20,75,2,3,2,3,
Antidesma parvifolium,tree,1,0,simple,no,deciduous,,650,566,6,8,30,6,20,4,5,4,5,
Baloghia inophylla,tree,1,1,simple,no,evergreen,580,590,566,24,22,180,10,75,7,10,6,7,
Baloghia marmorata,tree,1,1,simple,no,evergreen,,,,8,65,150,20,50,12,15,6,8,
Baloghia parviflora,tree,1,1,simple,no,evergreen,,590,566,20,25,230,7,80,7,9,5,6,
Bertya polystigma,shrub,1,0,simple,no,evergreen,,,566,6,10,54,2,9,4,5,3,4,
Beyeria lasiocarpa,shrub,1,0,simple,no,evergreen,627.8,,,6,30,80,7,20,3,4,3,4,
Beyeria tristigma,shrub,1,0,simple,no,evergreen,,,566,4,10,45,1,9,5,7,3,4,
Beyeria viscosa-viscosa,shrub,1,0,simple,no,evergreen,627.8,,,5,20,50,5,15,3,3,2,2,
Choriceras majus,tree,1,0,simple,no,evergreen,,,566,20,45,150,25,130,5,6,2,3,
Choriceras tricorne,tree,1,0,simple,no,evergreen,,,566,10,10,90,5,40,5,6,2,2,
Claoxylon angustifolium,shrub,1,0,simple,no,evergreen,,,566,3,80,220,5,25,3,4,2,3,
Claoxylon australe,tree,0,1,simple,no,evergreen,593.4,,,20,60,120,20,50,3,4,3,4,
Claoxylon hillii,shrub,1,0,simple,no,evergreen,,,,5,90,180,50,110,3,3,2,3,
Claoxylon tenerifolium_tenerifolium,tree,1,0,simple,no,evergreen,,,566,20,70,223,30,130,3,3,1,2,
Claoxylon tenerifolium_boreale,tree,1,0,simple,no,evergreen,,,566,15,30,150,10,90,3,3,1,2,
Cleidion javanicum,tree,0,1,simple,no,evergreen,,,566,18,70,180,25,80,10,11,10,10,
Codiaeum membranaceum,tree,1,0,simple,no,evergreen,,,566,6,75,220,30,80,5,5,3,4,3
Codiaeum variegatum-moluccanum,shrub,1,0,simple,no,evergreen,,,566,5,25,320,10,50,5,5,3,4,3
Croton acronychioides,shrub,1,0,simple,no,evergreen,,500,566,14,20,140,10,60,6,7,4,5,
Croton arnhemicus,tree,1,0,simple,no,deciduous,,500,566,15,20,300,10,280,5,6,3,4,
Croton brachypus,shrub,1,0,simple,no,evergreen,,500,566,5,18,80,12,70,4,5,3,3,
Croton capitis-york,tree,1,0,simple,no,evergreen,,500,566,8,25,160,10,60,4,5,3,3,
Croton choristadenius,tree,1,0,simple,no,evergreen,,,,10,30,110,15,40,3,3,2,2,
Croton densivestitus,shrub,1,0,simple,no,evergreen,,500,566,10,30,110,15,40,3,3,2,3,
Croton dockrillii,shrub,1,0,simple,no,evergreen,,500,566,3,30,150,20,50,4,4,3,4,
Croton habrophyllus,tree,1,0,simple,no,evergreen,,,,8,55,100,25,45,3,4,3,3,
Croton insularis,tree,1,0,simple,no,evergreen,,500,566,25,12,100,8,45,3,6,3,4,
Croton magneticus,shrub,1,0,simple,no,deciduous,,,,5,20,115,12,60,5,6,3,3,
Croton mamillatus,shrub,1,0,simple,no,evergreen,,,,4,30,80,12,36,4,5,3,4,
Croton multicaulis,shrub,1,0,simple,no,deciduous,,,,1.5,15,140,11,115,4,5,3,3,
Croton mutabilis,shrub,1,0,simple,no,deciduous,,500,566,6,13,170,7,90,3,4,2,3,
Croton phebalioides,shrub,1,0,simple,no,evergreen,,500,566,8,8,118,5,38,4,6,2,3,
Croton rarus,shrub,1,0,simple,no,evergreen,,,,5,20,110,10,35,2,3,1,2,
Croton simulans,shrub,1,0,simple,no,deciduous,,,,5,10,150,5,60,,,,,
Croton stigmatosus,shrub,1,0,simple,no,evergreen,,,,15,80,150,15,40,3,4,2,3,
Croton stockeri,shrub,1,0,simple,no,evergreen,,500,566,4,12,100,10,60,,,,,
Croton tomentellus,tree,1,0,simple,no,evergreen,,500,566,20,55,100,25,50,3,4,2,3,
Croton triacros,tree,1,0,simple,no,evergreen,500,500,566,8,50,185,25,80,3,5,2,3,
Croton verreauxii,tree,1,0,simple,no,evergreen,550.4,,,15,50,120,15,30,2,2,2,2,
Dimorphocalyx australiensis,tree,1,0,simple,no,evergreen,,,566,15,30,150,15,80,5,5,3,4,
Endospermum myrmecophilum,tree,1,0,simple,no,evergreen,,,566,36,100,350,80,330,5,7,3,6,
Euphorbia bifida,shrub,1,0,simple,no,evergreen,,,,1,12,35,3,7,1,2,1,1,
Euphorbia coghlanii,shrub,1,0,simple,no,evergreen,,,,1,6,25,2.5,10,1,1,1,1,
Euphorbia plumerioides,tree,1,0,simple,no,deciduous,,,566,5,35,150,10,25,3,4,2,3,
Euphorbia tannensis_eremophila,shrub,1,0,simple,no,deciduous,,,566,1.5,15,80,2,6,2,4,2,2,
Excoecaria agallocha,tree,1,0,simple,no,deciduous,,,566,20,13,150,10,80,5,5,3,4,
Excoecaria dallachyana,tree,1,0,simple,no,evergreen,,,,15,15,100,6,40,4,5,2,3,
Flueggea Biggenden-leucopyrus,shrub,1,0,simple,no,evergreen,,,,5,10,30,6,18,2,3,2,2,
Flueggea leucopyrus,shrub,1,0,simple,no,evergreen,,,566,5,7,36,4,25,2,3,2,2,
Flueggea virosa,shrub,1,0,simple,no,deciduous,,,566,5,15,125,12,63,2,3,2,2,
Fontainea australis,shrub,0,1,simple,no,evergreen,,,,5,60,90,20,35,4,5,3,3,
Fontainea oraria,tree,0,1,simple,no,evergreen,,,,10,60,90,25,40,5,7,5,7,
Fontainea picrosperma,tree,0,1,simple,no,evergreen,,,566,25,40,220,10,75,20,26,12,16,
Fontainea rostrata,tree,0,1,simple,no,evergreen,,,,12,50,100,25,50,12,15,12,15,
Fontainea venosa,tree,0,1,simple,no,evergreen,,,,10,40,120,20,50,10,13,8,12,
Homalanthus novoguineensis,tree,1,0,simple,no,evergreen,270,270,566,25,40,230,25,230,6,6,3,3.5,
Homalanthus nutans,tree,1,1,simple,no,evergreen,275.2,,,7,30,150,30,120,4,5,3,4,
Homalanthus populifolius,tree,1,1,simple,no,evergreen,275.2,,,7,30,150,30,120,4,5,3,4,
Hylandia dockrillii,tree,0,1,simple,no,evergreen,460,460,566,30,80,300,35,120,12,18,10,15,
Macaranga dallachyana,tree,1,0,simple,no,evergreen,,,,20,65,185,25,67,2,4,3,4,
Macaranga inamoena,tree,1,0,simple,no,evergreen,,460,566,10,45,210,10,75,3,4,3,4,
Macaranga involucrata_mallotoides,tree,1,0,simple,no,evergreen,,460,566,15,32,220,22,235,4,5,4,5,
Macaranga polyadenia,tree,1,0,simple,no,evergreen,,460,566,28,60,280,50,120,2,5,2,5,
Macaranga subdentata,tree,1,0,simple,yes,evergreen,,460,566,15,75,320,15,110,3,4,3,4,
Macaranga tanarius,tree,1,0,simple,no,evergreen,460,460,566,28,40,500,25,445,4,5,4,5,
Mallotus claoxyloides,shrub,1,0,simple,no,deciduous,,555,566,8,35,170,20,80,4,5,4,5,
Mallotus discolor,tree,1,0,simple,no,evergreen,580.5,,,30,40,100,25,40,3,4,2,3,
Mallotus dispersus,tree,1,0,simple,yes,evergreen,,555,566,10,25,167,20,140,5,7,5,6,
Mallotus ficifolius,shrub,1,0,simple,no,evergreen,,555,566,6,50,250,22,250,4,6,4,6,
Mallotus megadontus,shrub,1,0,simple,no,evergreen,,,,2,20,160,12,75,3,4,2,3,
Mallotus mollissimus,tree,1,0,simple,no,evergreen,430,555,566,10,45,300,22,250,3,5,3,5,
Mallotus philippensis,tree,1,0,simple,no,evergreen,600,555,566,25,15,210,8,100,3,5,2,3,
Mallotus polyadenos,tree,1,0,simple,no,evergreen,600,555,566,28,36,200,15,90,3,4,3,4,
Mallotus resinosus,shrub,1,0,simple,no,evergreen,,555,566,6,30,210,15,110,4,5,4,5,
Mallotus surculosus,tree,1,0,simple,no,deciduous,,555,566,10,20,190,18,200,4,4,3,4,
Margaritaria dubium-traceyi,tree,1,0,simple,no,deciduous,,,566,18,30,134,15,75,4,5,3,4,
Margaritaria indica,tree,1,0,simple,no,evergreen,,,566,20,11,130,23,60,3,3,3,3,
Microstachys chamaelea,shrub,1,0,simple,no,evergreen,,,566,1,12,90,2,19,4,5,3,4,
Neoroepera banksii,shrub,1,0,simple,no,evergreen,,,566,2,6,20,1,8,4,5,2,2.5,
Omphalea celata,tree,0,1,simple,no,evergreen,,,,12,45,120,16,80,23,26,12,13,
Pimelodendron amboinicum,tree,0,1,simple,yes,evergreen,,,566,35,60,250,30,90,12,15,12,15,
Ricinocarpos ledifolius,shrub,1,0,simple,no,evergreen,,,566,4,30,80,2,7,4,5,3,4,
Ricinocarpos speciosus,shrub,1,1,simple,no,evergreen,,,,3,20,80,8,18,4,5,4,5,
Rockinghamia angustifolia,tree,1,0,simple,no,evergreen,640,640,566,20,35,250,10,90,6,8,5,7,
Rockinghamia brevipes,tree,1,1,simple,no,evergreen,,640,566,10,45,210,30,75,8,9,4,6,
Shonia tristigma_borealis,shrub,1,0,simple,no,evergreen,,,,3,35,45,4,9,5,6,2,3,
Suregada glomerulata,tree,1,0,simple,no,evergreen,,,566,25,40,185,15,85,4,4,4,4,
Wetria australiensis,tree,1,0,simple,no,evergreen,,,566,15,80,300,40,80,4,5,3,4,
Whyanbeelia terrae-reginae,tree,1,1,simple,no,evergreen,,,566,25,30,160,12,60,9,12,3,4,
Eupomatia barbata,shrub,1,1,simple,no,evergreen,,,,1,60,240,15,70,3,4,3,3,
Eupomatia bennettii,shrub,1,1,simple,no,evergreen,,,,2,110,220,40,65,3,4,2,3,
Eupomatia laurina,tree,1,1,simple,no,evergreen,,,,10,50,200,20,75,4,6,2,3,
Acacia aulacocarpa,tree,1,0,simple,no,evergreen,582,554,523,15,30,125,7,35,3,6,3,4,3
Acacia auriculiformis,tree,1,0,simple,no,evergreen,,554,523,35,80,225,10,52,4,6,3,4,3
Acacia bakeri,tree,0,1,simple,no,evergreen,774,,,40,50,100,15,50,6,10,5,9,3
Acacia binervata,tree,0,1,simple,no,evergreen,,,,15,60,140,10,30,6,9,4,5,3
Acacia blakei,tree,0,1,simple,no,evergreen,,,,10,50,170,10,20,5,6,5,6,3
Acacia brassii,tree,0,1,simple,no,evergreen,,,,15,100,190,10,30,3,3,2,2,
Acacia celsa,tree,1,1,simple,no,evergreen,,554,523,30,50,155,10,35,3,7,3,4,2
Acacia cincinnata,tree,1,1,simple,no,evergreen,,554,523,30,110,160,16,30,4,5,2,3,
Acacia crassicarpa,tree,0,1,simple,no,evergreen,,554,523,30,80,270,7,65,4,7,2,2.5,
Acacia dallachiana,tree,0,1,simple,no,evergreen,,,,12,75,160,15,35,2,3,2,3,2
Acacia disparrima,tree,0,1,simple,no,evergreen,645,,,15,50,120,4,30,4,6,4,6,2
Acacia fasciculifera,tree,1,0,simple,no,evergreen,,554,523,30,40,150,7,38,5,7,2,3,
Acacia flavescens,tree,1,1,simple,no,evergreen,,554,523,20,90,300,12,60,6,7,3,3.5,
Acacia fleckeri,tree,1,1,simple,no,evergreen,,554,523,16,90,170,13,45,4,5,2,3,
Acacia frigescens,tree,0,1,simple,no,evergreen,,,,15,70,130,30,55,3,4,3,4,2
Acacia harpophylla,tree,0,1,simple,no,evergreen,,,,30,100,250,23,45,8,10,8,10,4
Acacia holosericea,shrub,1,0,simple,no,evergreen,,554,523,8,65,250,12,95,4,5,2,3,
Acacia hylonoma,tree,1,0,simple,no,evergreen,,554,523,25,80,145,7,25,5,5,2,3,
Acacia implexa,tree,1,1,simple,no,evergreen,,,,15,70,200,6,25,4,5,4,5,3
Acacia lamprocarpa,tree,1,1,simple,no,evergreen,,,,15,75,145,9,18,4,5,2,3,
Acacia leptocarpa,tree,1,0,simple,no,evergreen,,554,523,15,90,270,6,55,4,5,2,3,
Acacia mabellae,tree,1,1,simple,no,evergreen,,,,12,100,220,8,15,5,6,5,6,3
Acacia maidenii,tree,1,1,simple,no,evergreen,,,,20,80,180,7,22,4,6,4,6,2
Acacia mangium,tree,1,1,simple,no,evergreen,560,554,523,30,110,270,25,95,4,5,2,3,
Acacia melanoxylon,tree,1,0,simple,no,evergreen,520,554,523,20,40,160,6,25,3,5,2,3,
Acacia midgleyi,tree,1,0,simple,no,evergreen,,554,523,25,60,165,4,42,4,7,2,3,
Acacia oraria,tree,1,1,simple,no,evergreen,,554,523,10,50,125,15,45,4,6,2,3,
Acacia orites,tree,1,1,simple,no,evergreen,344,,,35,100,150,4,7,4,5,3,4,3
Acacia polystachya,tree,1,0,simple,no,evergreen,,554,523,25,75,250,10,32,4,4,2,3,
Acacia salicina,tree,0,1,simple,no,evergreen,,,,15,50,160,12,18,5,7,4,5,3
Acacia shirleyi,tree,1,0,simple,no,evergreen,,554,523,20,80,190,2,11,4,6,2,3,
Acacia solenota,shrub,1,0,simple,no,evergreen,,554,523,5,75,110,15,25,5,6,2,2,
Acacia spirorbis-solandri,tree,1,0,simple,no,evergreen,,554,523,12,70,170,4,16,3,5,2,3,
Acacia tessellata,tree,1,1,simple,no,evergreen,,,,10,80,180,4,12,4,6,3,5,2
Barklya syringifolia,tree,0,1,simple,no,evergreen,,,,20,50,90,40,70,8,10,5,7,3
Bossiaea arenicola,tree,1,0,simple,no,evergreen,,,567,12,6,20,6,20,4,4,3,4,
Crotalaria verrucosa,shrub,1,0,simple,no,evergreen,,,567,1.5,20,175,12,110,4,5,2,3,
Desmodium gangeticum,shrub,1,0,simple,no,evergreen,,,567,2,12,120,13,60,2,2,1,2,
Hanslia adhaerens,shrub,1,1,simple,no,evergreen,,,567,,100,110,55,65,6,8,4,5,3
Hovea longipes,shrub,1,0,simple,no,evergreen,,,567,5,10,70,4,20,6,8,5,6,5
Hovea nitida,shrub,1,0,simple,no,evergreen,,,567,3,5,75,2,11,5,5,4,4,
Piliostigma malabaricum,tree,1,1,simple,yes,deciduous,,,653,10,30,110,40,130,4,8,3,4,
Fagraea berteroana,tree,1,0,simple,no,evergreen,,,,10,100,190,45,100,1,1,1,1,
Fagraea cambagei,tree,1,0,simple,no,evergreen,,,,20,70,300,45,125,5,7,5,6,2
Fagraea fagraeacea,tree,1,0,simple,no,evergreen,,,,20,50,120,20,45,5,8,3,5,
Fagraea racemosa,tree,1,0,simple,no,evergreen,,,,10,145,240,50,120,,,,,
Cyrtandra baileyi,shrub,1,0,simple,no,evergreen,,,,3,85,200,25,55,0.7,0.8,0.7,0.8,
Lenbrassia australiana_australiana,shrub,1,0,simple,no,evergreen,,,,4,60,200,15,75,1,1,0.7,0.8,
Lenbrassia australiana_glabrescens,shrub,1,0,simple,no,evergreen,,,,3,120,200,35,65,1,1,0.7,0.8,
Scaevola taccada,shrub,1,1,simple,no,evergreen,,,,4,40,230,20,110,7,8,6,7,
Codonocarpus attenuatus,tree,1,0,simple,no,evergreen,,,,12,45,120,3,16,3,3,2,2,
Neostrearia fleckeri,tree,1,1,simple,no,evergreen,,,600,10,90,200,30,70,9,13,5,6,
Noahdendron nicholasii,tree,1,0,simple,no,evergreen,,,600,10,120,300,50,100,6,7,4,5,
Ostrearia australiana,tree,0,1,simple,no,evergreen,600,600,600,25,110,190,40,80,10,15,6,7,
Gyrocarpus americanus,tree,0,1,simple,yes,deciduous,240,240,240,12,70,240,40,210,8,8,7,7,
Hernandia albiflora,tree,1,1,simple,no,evergreen,,,240,6,90,170,15,60,20,23,10,13,
Irvingbaileya australis,tree,0,1,simple,no,evergreen,410,410,493,20,90,150,30,50,20,24,12,14,
Callicarpa brevistyla,tree,1,0,simple,no,evergreen,,,,7,50,170,35,120,3,3,2,2,
Callicarpa candicans,tree,1,0,simple,no,evergreen,,,519,8,35,200,15,90,2,3,2,2,
Clerodendrum costatum,tree,1,0,simple,no,evergreen,,,519,6,130,165,60,120,4,5,2,3,
Clerodendrum floribundum_floribundum,shrub,1,1,simple,no,evergreen,,,519,8,65,210,35,100,4,5,2,3,
Clerodendrum floribundum_coriaceum,tree,1,0,simple,no,evergreen,,,519,8,70,150,35,60,4,5,2,3,
Clerodendrum inerme,shrub,1,0,simple,no,evergreen,,,519,6,30,120,10,60,8,15,4,5,
Clerodendrum longiflorum_glabrum,tree,1,1,simple,no,evergreen,,,519,9,40,220,50,110,4,5,3,4,
Clerodendrum tracyanum,tree,1,0,simple,no,evergreen,,,519,10,100,330,80,230,3,5,3,4,
Gmelina dalrympleana,tree,0,1,simple,no,evergreen,,443,519,30,70,310,50,200,12,15,6,8,
Gmelina schlechteri,tree,1,1,simple,no,deciduous,,,,20,120,250,70,100,6,12,4,7,
Pityrodia salviifolia,shrub,1,0,simple,no,evergreen,,,519,4,40,120,7,20,3,4,2,2,
Premna acuminata,tree,1,0,simple,no,evergreen,,,519,8,40,160,30,125,3,4,3,3,
Premna dallachyana,tree,1,0,simple,no,evergreen,,,519,12,40,150,15,75,3,5,3,4,
Premna odorata,tree,1,0,simple,no,evergreen,,,519,12,50,200,40,135,4,5,2,3,
Prostanthera lasianthos,shrub,1,0,simple,no,evergreen,,,,5,30,120,8,35,1,2,1,2,
Vitex rotundifolia,shrub,1,0,simple,no,evergreen,,595,519,3,15,55,8,34,3,5,3,4,
Beilschmiedia bancroftii,tree,0,1,simple,no,evergreen,520,592,533,30,70,160,20,60,35,50,34,52,
Beilschmiedia castrisinensis,tree,0,1,simple,no,evergreen,,592,533,30,70,130,23,40,33,45,39,60,28
Beilschmiedia oligandra,tree,0,1,simple,no,evergreen,640,592,533,30,75,160,30,65,30,50,25,38,
Beilschmiedia recurva,tree,0,1,simple,no,evergreen,,592,533,35,60,135,25,60,20,26,12,17,
Beilschmiedia tooram,tree,0,1,simple,no,evergreen,670,592,533,30,65,210,25,70,25,50,30,50,20
Beilschmiedia volckii,tree,0,1,simple,no,evergreen,440,592,533,35,120,270,65,130,32,55,32,44,
Cinnamomum baileyanum,tree,0,1,simple,no,evergreen,460,449,533,20,50,130,20,55,13,15,7,9,
Cinnamomum laubatii,tree,0,1,simple,no,evergreen,400,449,533,35,80,145,20,40,13,17,10,11,
Cinnamomum oliveri,tree,0,1,simple,no,evergreen,463,449,533,25,40,170,20,60,12,14,10,11,
Cinnamomum propinquum,tree,1,1,simple,no,evergreen,,449,533,12,50,95,20,35,9,9,7,7,
Cinnamomum virens,tree,1,1,simple,no,evergreen,481.6,,,45,50,120,20,30,6,8,6,8,
Cryptocarya angulata,tree,0,1,simple,no,evergreen,600,571,533,30,47,142,25,60,19,25,14,18,
Cryptocarya bamagana,tree,1,0,simple,no,evergreen,,571,533,15,80,140,30,50,6,7,7,8,
Cryptocarya brassii,tree,1,1,simple,no,evergreen,,571,533,20,60,170,35,85,10,10,8,8,
Cryptocarya clarksoniana,tree,1,1,simple,no,evergreen,,571,533,19,55,150,20,50,10,12,9,11,
Cryptocarya exfoliata,tree,1,1,simple,no,evergreen,,571,533,20,50,130,15,55,7,11,7,9,
Cryptocarya whiffiniana,tree,1,1,simple,no,evergreen,,571,533,20,40,115,15,40,9,13,6,8,
Cryptocarya hypospodia,tree,1,1,simple,no,evergreen,550,571,533,30,65,245,25,135,8,16,9,14,
Cryptocarya laevigata,tree,0,1,simple,no,evergreen,,571,533,7,50,155,15,60,11,24,10,19,
Cryptocarya lividula,tree,1,1,simple,no,evergreen,,571,533,25,60,95,20,40,9,11,9,12,
Cryptocarya macdonaldii,tree,1,1,simple,no,evergreen,,,,30,90,130,30,50,8,10,6,8,
Cryptocarya meissneriana,tree,1,1,simple,no,evergreen,619.2,,,12,50,100,10,30,8,10,6,8,
Cryptocarya microneura,tree,1,1,simple,no,evergreen,688,,,35,60,120,20,35,5,7,5,6,
Cryptocarya murrayi,tree,1,1,simple,no,evergreen,,571,533,30,110,300,45,105,8,14,8,13,
Cryptocarya putida,tree,0,1,simple,no,evergreen,,571,533,25,60,210,20,80,10,13,9,10,
Cryptocarya rigida,tree,0,1,simple,no,evergreen,619.2,,,15,50,130,20,50,15,20,8,10,
Cryptocarya triplinervis-triplinervis,tree,1,0,simple,no,evergreen,649.3,,,20,50,100,20,40,8,10,6,8,
Cryptocarya Worlds-End-Pocket,tree,1,0,simple,no,evergreen,,,,,,,,,5,7,4,5,
Endiandra bellendenkerana,tree,0,1,simple,no,evergreen,,622,533,15,90,120,40,50,21,23,9,12,
Endiandra collinsii,tree,0,1,simple,no,evergreen,,622,533,15,60,110,25,45,19,20,11,12,
Endiandra compressa,tree,0,1,simple,no,evergreen,799,622,533,20,120,250,45,90,33,52,30,49,20
Endiandra cooperana,tree,0,1,simple,no,evergreen,,622,533,25,85,150,30,60,30,45,30,43,
Endiandra floydii,tree,0,1,simple,no,evergreen,,,,15,70,130,30,60,45,55,45,55,
Endiandra grayi,tree,0,1,simple,no,evergreen,,622,533,35,115,145,35,50,40,54,27,38,
Endiandra hypotephra,tree,0,1,simple,no,evergreen,590,622,533,30,35,140,25,55,17,25,9,12,
Endiandra insignis,tree,0,1,simple,no,evergreen,,622,533,25,100,225,25,130,25,55,22,48,
Endiandra introrsa,tree,0,1,simple,no,evergreen,649.3,,,45,50,90,15,35,40,55,40,50,
Endiandra jonesii,tree,0,1,simple,no,evergreen,,622,533,35,50,90,15,30,32,42,25,42,32
Endiandra leptodendron,tree,0,1,simple,no,evergreen,,622,533,18,95,160,40,75,13,18,9,11,
Endiandra limnophila,tree,0,1,simple,no,evergreen,,622,533,20,55,125,30,50,22,27,10,11,
Endiandra longipedicellata,tree,0,1,simple,no,evergreen,760,622,533,30,75,165,20,65,24,42,11,21,
Endiandra microneura,tree,0,1,simple,no,evergreen,,622,533,30,85,150,30,65,40,66,20,46,
Endiandra monothyra-monothyra,tree,0,1,simple,no,evergreen,,622,533,35,60,150,25,75,27,34,10,15,
Endiandra monothyra-trichophylla,tree,0,1,simple,no,evergreen,,622,533,25,55,85,20,35,22,28,10,12,
Endiandra montana,tree,0,1,simple,no,evergreen,570,622,533,30,70,135,30,65,18,55,15,34,
Endiandra muelleri,tree,1,1,simple,no,evergreen,662.2,,,45,60,120,30,50,12,20,8,12,
Endiandra muelleri-bracteata,tree,1,1,simple,no,evergreen,662.2,,,45,60,120,30,50,15,20,10,12,
Endiandra palmerstonii,tree,0,1,simple,no,evergreen,570,622,533,30,70,225,25,130,30,40,30,45,
Endiandra phaeocarpa,tree,0,1,simple,no,evergreen,,622,533,30,100,185,35,85,52,72,20,40,
