scientificName,plant_growth_form,growth_habit,parasitic,life_history,regen_strategy,growth_medium,sex_type,...9,partially_woody
Allocasuarina nana,shrub,spreading,NA,NA,NA,NA,dioecious monoecious,NA,NA
Allocasuarina paludosa,shrub,NA,NA,NA,NA,NA,dioecious monoecious,NA,NA
Allocasuarina paradoxa,shrub,NA,NA,NA,NA,NA,dioecious monoecious,NA,NA
Allocasuarina pusilla,shrub,spreading,NA,NA,NA,NA,dioecious,NA,NA
Allocasuarina verticillata,tree,NA,NA,NA,NA,NA,dioecious,NA,NA
Almaleea,shrub,trailing,NA,NA,NA,NA,NA,NA,NA
Almaleea capitata,shrub,trailing,NA,NA,NA,NA,NA,NA,NA
Almaleea paludosa,shrub,trailing,NA,NA,NA,NA,NA,NA,NA
Almaleea subumbellata,shrub,trailing,NA,NA,NA,NA,NA,NA,NA
Aloe,NA,shrubby,NA,perennial,NA,NA,NA,NA,NA
Aloe arborescens,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Aloe maculata,NA,dense,NA,NA,NA,NA,NA,NA,NA
Aloiampelos,NA,shrubby,NA,perennial,NA,NA,NA,NA,NA
Aloiampelos ciliaris,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aloiampelos ciliaris var. ciliaris,NA,shrubby,NA,NA,NA,NA,NA,NA,NA
Alopecurus,NA,tufted,NA,annual perennial,rhizome,NA,NA,NA,NA
Alopecurus aequalis,NA,tufted erect decumbent,NA,short_lived_perennial annual,NA,NA,NA,NA,NA
Alopecurus geniculatus,NA,tufted decumbent,NA,annual perennial,NA,NA,NA,NA,NA
Alopecurus pratensis,NA,erect,NA,perennial,rhizome,NA,NA,NA,NA
Alseuosmiaceae,shrub epiphyte,NA,NA,NA,NA,epiphyte,NA,NA,NA
Alstroemeria,herb,NA,NA,perennial,rhizome,NA,NA,NA,NA
Alstroemeria aurea,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alstroemeria psittacina,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alstroemeriaceae,herb climber,NA,NA,perennial,rhizome,NA,NA,NA,NA
Alternanthera,herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Alternanthera denticulata,NA,trailing,NA,annual perennial,NA,NA,NA,NA,NA
Alternanthera nodiflora,NA,erect,NA,annual,NA,NA,NA,NA,NA
Alternanthera philoxeroides,aquatic,stoloniferous scrambling,NA,perennial,stolon,terrestrial aquatic,NA,NA,NA
Alternanthera pungens,NA,prostrate spreading,NA,perennial,NA,NA,NA,NA,NA
Alternanthera sp. 1,NA,prostrate,NA,NA,NA,NA,NA,NA,NA
Althenia,herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Althenia australis,NA,NA,NA,NA,NA,NA,monoecious,NA,NA
Althenia bilocularis,NA,NA,NA,NA,NA,NA,dioecious,NA,NA
Althenia cylindrocarpa,NA,NA,NA,NA,NA,NA,dioecious,NA,NA
Althenia marina,NA,NA,NA,NA,NA,NA,dioecious,NA,NA
Althenia patentifolia,NA,NA,NA,NA,NA,NA,dioecious,NA,NA
Althenia preissii,NA,NA,NA,NA,NA,NA,monoecious,NA,NA
Alyssum,herb,NA,NA,annual,NA,NA,NA,NA,NA
Alyssum linifolium,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alyxia,climber_liana shrub,erect procumbent,NA,NA,NA,NA,NA,NA,NA
Alyxia buxifolia,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Amaranthaceae,shrub herb,NA,NA,NA,NA,NA,NA,NA,NA
Amaranthus,herb,NA,NA,annual perennial,NA,NA,dioecious monoecious,NA,NA
Amaranthus albus,NA,erect decumbent,NA,annual,NA,NA,NA,NA,NA
Amaranthus caudatus,NA,erect,NA,annual,NA,NA,NA,NA,NA
Amaranthus cruentus,NA,erect,NA,annual,NA,NA,NA,NA,NA
Amaranthus deflexus,NA,prostrate,NA,perennial,NA,NA,NA,NA,NA
Amaranthus graecizans,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amaranthus graecizans subsp. silvestris,NA,erect,NA,annual,NA,NA,NA,NA,NA
Amaranthus grandiflorus,NA,erect,NA,annual,NA,NA,NA,NA,NA
Amaranthus hybridus,NA,erect,NA,annual,NA,NA,NA,NA,NA
Amaranthus macrocarpus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amaranthus macrocarpus var. macrocarpus,NA,prostrate decumbent,NA,annual,NA,NA,NA,NA,NA
Amaranthus muricatus,NA,prostrate,NA,annual,NA,NA,NA,NA,NA
Amaranthus powellii,NA,erect decumbent,NA,annual,NA,NA,NA,NA,NA
Amaranthus retroflexus,NA,erect,NA,annual,NA,NA,NA,NA,NA
Amaranthus viridis,herb,erect,NA,annual,NA,NA,NA,NA,NA
Amaryllidaceae,herb,NA,NA,perennial,rhizome,NA,NA,NA,NA
Amaryllis,herb,NA,NA,perennial,NA,NA,NA,NA,NA
Amaryllis belladonna,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambrosia,shrub herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Ambrosia artemisiifolia,herb,erect,NA,annual,NA,NA,NA,NA,NA
Ambrosia psilostachya,herb,stoloniferous erect dense,NA,perennial,stolon,NA,NA,NA,NA
Ambrosia tenuifolia,herb,stoloniferous,NA,perennial,stolon,NA,NA,NA,NA
Amelichloa,NA,tufted,NA,perennial,rhizome,NA,NA,NA,NA
Amelichloa caudata,NA,tufted erect,NA,perennial,NA,NA,NA,NA,NA
Ammannia,aquatic_herb,prostrate erect,NA,annual,NA,aquatic marsh,NA,NA,NA
Ammannia multiflora,herb,erect,NA,NA,NA,NA,NA,NA,NA
Ammi,herb,erect,NA,annual perennial,NA,NA,NA,NA,NA
Ammi majus,herb,erect spreading,NA,NA,NA,NA,NA,NA,NA
Ammobium,herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Ammobium alatum,herb,erect,NA,annual perennial,NA,NA,NA,NA,NA
Amperea,shrub,erect procumbent,NA,perennial,NA,NA,dioecious monoecious,NA,woody_base
Amperea xiphoclada,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amperea xiphoclada var. xiphoclada,subshrub,erect,NA,NA,NA,NA,dioecious monoecious,NA,NA
Amphibolis,NA,NA,NA,NA,rhizome,NA,NA,NA,NA
Amphibolis antarctica,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amphibromus,NA,stoloniferous tufted,NA,perennial,stolon,NA,NA,NA,NA
Amphibromus archeri,NA,tufted,NA,perennial,NA,NA,NA,NA,NA
Amphibromus fluitans,semiaquatic aquatic,stoloniferous decumbent,NA,perennial,rhizome stolon,aquatic semiaquatic,NA,NA,NA
Amphibromus macrorhinus,NA,tufted,NA,perennial,NA,NA,NA,NA,NA
Amphibromus neesii,NA,tufted,NA,perennial,rhizome,NA,NA,NA,NA
Amphibromus nervosus,NA,tufted,NA,perennial,NA,NA,NA,NA,NA
Amphibromus pithogastrus,NA,tufted,NA,perennial,NA,NA,NA,NA,NA
Amphibromus recurvatus,NA,tufted,NA,perennial,NA,NA,NA,NA,NA
Amphibromus sinuatus,aquatic,stoloniferous decumbent,NA,perennial,stolon,aquatic,NA,NA,NA
Amphipogon,NA,caespitose,NA,perennial,rhizome,NA,NA,NA,NA
Amphipogon caricinus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amphipogon caricinus var. caricinus,NA,tufted compact,NA,perennial,NA,NA,NA,NA,NA
Amphipogon strictus,NA,erect,NA,perennial,rhizome,NA,NA,NA,NA
Amsinckia,herb,NA,NA,annual,NA,NA,NA,NA,NA
Amsinckia calycina,herb,NA,NA,NA,NA,NA,NA,NA,NA
Amsinckia intermedia,herb,erect,NA,NA,NA,NA,NA,NA,NA
Amsinckia lycopsoides,herb,NA,NA,NA,NA,NA,NA,NA,NA
Amsinckia menziesii,herb,NA,NA,NA,NA,NA,NA,NA,NA
Amyema,shrub,erect,stem_parasitic,NA,NA,NA,NA,NA,NA
Amyema linophylla,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amyema linophylla subsp. orientalis,shrub,spreading,NA,NA,NA,NA,NA,NA,NA
Amyema miquelii,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Amyema miraculosa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amyema miraculosa subsp. boormanii,shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Amyema pendula,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Amyema pendula subsp. longifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amyema pendula subsp. pendula,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amyema preissii,shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Amyema quandang,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amyema quandang var. quandang,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Anacardiaceae,tree climber_vine_woody shrub,NA,NA,NA,NA,NA,NA,NA,NA
Anchusa,herb,NA,NA,annual biennial perennial,NA,NA,NA,NA,NA
Anchusa arvensis,NA,NA,NA,annual biennial,NA,NA,NA,NA,NA
Anchusa capensis,herb,NA,NA,annual biennial,NA,NA,NA,NA,NA
Androcalva,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Androcalva rossii,tree shrub,spindly,NA,NA,NA,NA,NA,NA,NA
Androcalva tatei,shrub,prostrate procumbent,NA,NA,NA,NA,NA,NA,NA
Andropogon,NA,tufted,NA,annual perennial,rhizome,NA,NA,NA,NA
Andropogon virginicus,NA,tufted,NA,perennial,NA,NA,NA,NA,NA
Anemone,shrub herb,NA,NA,perennial,rhizome,NA,NA,NA,NA
Anemone x hybrida,herb,tufted erect,NA,perennial,NA,NA,NA,NA,NA
Angianthus,shrub herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Angianthus brachypappus,NA,erect decumbent,NA,annual,NA,NA,NA,NA,NA
Angianthus preissianus,NA,prostrate erect,NA,annual,NA,NA,NA,NA,NA
Angianthus tomentosus,NA,erect,NA,annual,NA,NA,NA,NA,NA
Angophora,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Angophora costata,tree,spreading,NA,NA,NA,NA,NA,NA,NA
Angophora costata subsp. costata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angophora floribunda,tree,spreading,NA,NA,NA,NA,NA,NA,NA
Anisopogon,NA,NA,NA,perennial,NA,NA,NA,NA,NA
Anisopogon avenaceus,NA,tufted erect,NA,perennial,rhizome,NA,NA,NA,NA
Anoda,herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Anoda cristata,herb,erect,NA,annual perennial,NA,NA,NA,NA,NA
Anogramma,NA,NA,NA,annual,NA,NA,NA,NA,NA
Anogramma leptophylla,NA,NA,NA,perennial,rhizome,NA,NA,NA,NA
Anredera,climber_vine,NA,NA,annual,rhizome,NA,NA,NA,NA
Anredera cordifolia,climber_vine,NA,NA,NA,NA,NA,NA,NA,NA
Anthemis,subshrub herb,NA,NA,annual biennial perennial,NA,NA,NA,NA,NA
Anthemis arvensis,NA,decumbent,NA,annual biennial,NA,NA,NA,NA,NA
Anthemis cotula,NA,NA,NA,annual,NA,NA,NA,NA,NA
Anthosachne,NA,tufted erect decumbent,NA,perennial,rhizome,NA,NA,NA,NA
Anthosachne kingiana,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthosachne kingiana subsp. multiflora,NA,tufted,NA,perennial,NA,NA,NA,NA,NA
Anthosachne rectiseta,NA,tufted,NA,perennial,NA,NA,NA,NA,NA
Anthosachne scabra,NA,tufted,NA,perennial,NA,NA,NA,NA,NA
Anthoxanthum,NA,tufted,NA,annual perennial,rhizome,NA,NA,NA,NA
Anthoxanthum aristatum,NA,tufted,NA,annual,NA,NA,NA,NA,NA
Anthoxanthum odoratum,NA,tufted erect,NA,perennial,rhizome,NA,NA,NA,NA
Anthriscus,herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Anthriscus caucalis,herb,NA,NA,annual,NA,NA,NA,NA,NA
Anthyllis,shrub herb,NA,NA,perennial,NA,NA,NA,NA,NA
Anthyllis vulneraria,herb,prostrate erect,NA,perennial,NA,NA,NA,NA,NA
Aotus,shrub,erect,NA,perennial,NA,NA,NA,NA,NA
Aotus ericoides,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Aotus subspinescens,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Apalochlamys,herb,NA,NA,biennial,NA,NA,NA,NA,NA
Apalochlamys spectabilis,sub herb,erect shrubby,NA,NA,NA,NA,NA,NA,NA
Apera,NA,caespitose,NA,annual,NA,NA,NA,NA,NA
Apera interrupta,NA,erect,NA,annual,NA,NA,NA,NA,NA
Aphanes,herb,NA,NA,annual,NA,NA,NA,NA,NA
Aphanes arvensis,herb,NA,NA,NA,NA,NA,NA,NA,NA
Aphanes australiana,herb,NA,NA,NA,NA,NA,NA,NA,NA
Aphanes inexspectata,herb,NA,NA,NA,NA,NA,NA,NA,NA
Aphanopetalaceae,climber_vine_woody shrub,scrambling,NA,NA,NA,NA,NA,NA,NA
Aphanopetalum,climber_vine_woody shrub,sprawling,NA,NA,NA,NA,NA,NA,NA
Aphanopetalum resinosum,shrub climber,NA,NA,NA,NA,NA,NA,NA,NA
Aphelia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aphelia gracilis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aphelia pumilio,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apiaceae,herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Apium,aquatic_herb,NA,NA,annual biennial perennial,NA,terrestrial aquatic,NA,NA,NA
Apium annuum,NA,erect,NA,annual,NA,NA,NA,NA,NA
Apium graveolens,NA,prostrate erect,NA,biennial,NA,NA,NA,NA,NA
Apium insulare,NA,erect,NA,biennial,NA,NA,NA,NA,NA
Apium prostratum,NA,prostrate,NA,biennial perennial,NA,NA,NA,NA,NA
Apium prostratum var. filiforme,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apium prostratum var. prostratum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apocynaceae,tree shrub herb climber,NA,NA,perennial,NA,NA,NA,NA,NA
Apodasmia,herb,NA,NA,perennial,NA,NA,dioecious,NA,NA
Apodasmia brownii,NA,NA,NA,NA,rhizome,NA,NA,NA,NA
Aponogeton,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aponogeton distachyos,NA,NA,NA,NA,rhizome,NA,NA,NA,NA
Aponogetonaceae,aquatic_herb,NA,NA,perennial,rhizome,aquatic,NA,NA,NA
Aquifoliaceae,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Aquilegia,herb,NA,NA,perennial,NA,NA,NA,NA,NA
Aquilegia vulgaris,herb,erect,NA,NA,NA,NA,NA,NA,NA
Arabidella,shrub herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Arabidella nasturtium,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arabidella trisecta,shrub,erect,NA,NA,NA,NA,NA,NA,NA
Arabidopsis,herb,NA,NA,annual biennial perennial,NA,NA,NA,NA,NA
Arabidopsis thaliana,herb,NA,NA,annual,NA,NA,NA,NA,NA
Araceae,aquatic_herb climber_vine,shrubby scrambling,NA,perennial,rhizome,aquatic,NA,NA,NA
Araliaceae,tree shrub herb climber,NA,NA,NA,NA,NA,dioecious monoecious,NA,NA
Araujia,climber,twining,NA,NA,NA,NA,NA,NA,NA
Araujia sericifera,climber,NA,NA,NA,NA,NA,NA,NA,NA
Arbutus,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Arbutus unedo,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Arctium,herb,NA,NA,biennial,NA,NA,NA,NA,NA
Arctium lappa,herb,NA,NA,NA,NA,NA,NA,NA,NA
Arctium minus,herb,NA,NA,NA,NA,NA,NA,NA,NA
Arctotheca,herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Arctotheca calendula,NA,prostrate procumbent,NA,annual,NA,NA,NA,NA,NA
Arctotheca populifolia,NA,prostrate,NA,perennial,rhizome,NA,NA,NA,NA
Arctotheca prostrata,NA,prostrate,NA,perennial,NA,NA,NA,NA,NA
Arctotis,subshrub herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Arctotis stoechadifolia,herb,prostrate,NA,perennial,NA,NA,NA,NA,woody_base
Arecaceae,tree shrub climber,NA,NA,NA,NA,NA,NA,NA,NA
Arenaria,herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Arenaria leptoclados,NA,NA,NA,annual,NA,NA,NA,NA,NA
Arenaria serpyllifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arenaria serpyllifolia subsp. serpyllifolia,NA,NA,NA,annual biennial,NA,NA,NA,NA,NA
Argemone,herb,NA,NA,annual,NA,NA,NA,NA,NA
Argemone ochroleuca,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argemone ochroleuca subsp. ochroleuca,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,herb,decumbent,NA,perennial,NA,NA,NA,NA,NA
Argentina anserina,herb,stoloniferous,NA,perennial,stolon,NA,NA,NA,NA
Argentipallium,herb,NA,NA,perennial,NA,NA,NA,NA,NA
Argentipallium blandowskianum,NA,erect,NA,perennial,rhizome,NA,NA,NA,NA
Argentipallium dealbatum,NA,tufted,NA,perennial,rhizome,NA,NA,NA,NA
Argentipallium obtusifolium,NA,NA,NA,perennial,rhizome,NA,NA,NA,NA
Argyranthemum,subshrub shrub,NA,NA,NA,NA,NA,NA,NA,NA
Argyranthemum frutescens,subshrub,NA,NA,NA,NA,NA,NA,NA,NA
Argyranthemum frutescens subsp. foeniculaceum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argyranthemum frutescens subsp. frutescens,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argyrotegium,herb,prostrate mat_forming,NA,perennial,NA,NA,NA,NA,NA
Argyrotegium fordianum,NA,tufted mat_forming,NA,perennial,rhizome,NA,NA,NA,NA
Argyrotegium mackayi,NA,mat_forming,NA,perennial,rhizome,NA,NA,NA,NA
Argyrotegium nitidulum,NA,mat_forming,NA,perennial,NA,NA,NA,NA,NA
Argyrotegium poliochlorum,NA,mat_forming,NA,perennial,rhizome,NA,NA,NA,NA
Arisarum,herb,stoloniferous,NA,NA,rhizome stolon,terrestrial,NA,NA,NA
Arisarum vulgare,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arisarum vulgare subsp. vulgare,herb,stoloniferous,NA,NA,stolon,NA,NA,NA,NA
Aristea,herb,NA,NA,annual perennial,rhizome,NA,NA,NA,NA
Aristea capitata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aristea ecklonii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aristida,NA,tufted,NA,annual perennial,NA,NA,NA,NA,NA
Aristida behriana,NA,tufted erect,NA,perennial,NA,NA,NA,NA,NA
Aristida calycina,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aristida calycina var. calycina,NA,tufted erect,NA,perennial,NA,NA,NA,NA,NA
Aristida calycina var. praealta,NA,tufted erect,NA,perennial,NA,NA,NA,NA,NA
Aristida contorta,NA,tufted erect,NA,short_lived_perennial annual,NA,NA,NA,NA,NA
Aristida holathera,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aristida holathera var. holathera,NA,tufted erect,NA,perennial,NA,NA,NA,NA,NA
Aristida jerichoensis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aristida jerichoensis var. subspinulifera,NA,tufted erect,NA,annual perennial,NA,NA,NA,NA,NA
Aristida longespica,NA,erect,NA,annual,NA,NA,NA,NA,NA
Aristida obscura,NA,tufted erect,NA,perennial,NA,NA,NA,NA,NA
Aristida personata,NA,tufted erect,NA,perennial,rhizome,NA,NA,NA,NA
Aristida ramosa,NA,tufted erect,NA,perennial,rhizome,NA,NA,NA,NA
Arrhenatherum,NA,NA,NA,perennial,NA,NA,NA,NA,NA
Arrhenatherum elatius,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arrhenatherum elatius var. bulbosum,NA,tufted,NA,perennial,NA,NA,NA,NA,NA
Arrhenechthites,subshrub herb,NA,NA,perennial,NA,NA,NA,NA,NA
Arrhenechthites mixtus,herb,erect,NA,NA,NA,NA,NA,NA,NA
Artemisia,subshrub shrub herb,NA,NA,annual biennial perennial,NA,NA,NA,NA,NA
Artemisia arborescens,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Artemisia verlotiorum,herb,erect,NA,annual perennial,rhizome,NA,NA,NA,NA
Arthropodium,herb,tufted,NA,perennial,NA,NA,NA,NA,NA
Arthropodium fimbriatum,NA,tufted,NA,NA,NA,NA,NA,NA,NA
Arthropodium milleflorum,NA,tufted,NA,NA,NA,NA,NA,NA,NA
Arthropodium minus,NA,tufted,NA,NA,NA,NA,NA,NA,NA
Arthropodium sp. 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthropodium sp. 2,NA,tufted,NA,NA,NA,NA,NA,NA,NA
Arthropodium sp. 3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthropodium strictum,NA,tufted,NA,NA,NA,NA,NA,NA,NA
Arum,herb,NA,NA,NA,NA,terrestrial,NA,NA,NA
Arum italicum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arundo,NA,NA,NA,perennial,rhizome,NA,NA,NA,NA
Arundo donax,NA,erect,NA,perennial,NA,NA,NA,NA,NA
Asclepias,shrub herb,erect,NA,NA,NA,NA,NA,NA,NA
Asclepias curassavica,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Asparagaceae,tree shrub herb climber,NA,NA,annual perennial,NA,NA,NA,NA,NA
Asparagus,herb,erect scrambling,NA,perennial,rhizome,NA,NA,NA,NA
Asparagus aethiopicus,herb,scrambling,NA,NA,rhizome,NA,NA,NA,NA
Asparagus asparagoides,NA,NA,NA,NA,rhizome,NA,NA,NA,NA
Asparagus declinatus,NA,NA,NA,NA,rhizome,NA,NA,NA,NA
Asparagus officinalis,herb,NA,NA,NA,rhizome,NA,dioecious,NA,NA
Asparagus plumosus,climber,NA,NA,NA,rhizome,NA,NA,NA,NA
Asparagus scandens,herb,NA,NA,NA,rhizome,NA,NA,NA,NA
Asperula,herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Asperula ambleia,sub,erect shrubby,NA,perennial,NA,NA,NA,NA,NA
Asperula charophyton,NA,spreading,NA,perennial,NA,NA,NA,NA,NA
Asperula conferta,NA,decumbent,NA,perennial,NA,NA,NA,NA,woody_base
Asperula euryphylla,NA,prostrate decumbent,NA,perennial,NA,NA,NA,NA,NA
Asperula gemella,NA,scrambling,NA,perennial,NA,NA,NA,NA,NA
Asperula gunnii,NA,decumbent,NA,perennial,NA,NA,NA,NA,NA
Asperula minima,NA,tufted,NA,perennial,rhizome,NA,NA,NA,NA
Asperula oblanceolata,NA,decumbent,NA,perennial,NA,NA,NA,NA,NA
Asperula polymera,NA,decumbent,NA,perennial,NA,NA,NA,NA,NA
Asperula pusilla,NA,tufted decumbent,NA,perennial,rhizome,NA,NA,NA,NA
Asperula scoparia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asperula scoparia subsp. scoparia,NA,decumbent mat_forming,NA,perennial,NA,NA,NA,NA,NA
Asperula subsimplex,NA,prostrate decumbent,NA,perennial,NA,NA,NA,NA,NA
Asperula wimmerana,NA,tufted decumbent,NA,perennial,rhizome,NA,NA,NA,NA
Asphodelaceae,tree shrub herb,NA,NA,perennial,rhizome,NA,NA,NA,NA
Asphodelus,herb,tufted,NA,annual perennial,rhizome,NA,NA,NA,NA
Asphodelus fistulosus,NA,tufted,NA,annual biennial,NA,NA,NA,NA,NA
Aspleniaceae,fern epiphyte,NA,NA,NA,NA,terrestrial epiphyte,NA,NA,NA
Asplenium,NA,erect,NA,NA,rhizome,NA,NA,NA,NA
Asplenium aethiopicum,NA,erect,NA,NA,rhizome,NA,NA,NA,NA
Asplenium appendiculatum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asplenium appendiculatum subsp. appendiculatum,lithophyte fern,NA,NA,NA,NA,terrestrial lithophyte,NA,NA,NA
Asplenium decurrens,NA,NA,NA,NA,rhizome,NA,NA,NA,NA
Asplenium flabellifolium,NA,NA,NA,NA,rhizome,NA,NA,NA,NA
Asplenium flaccidum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asplenium flaccidum subsp. flaccidum,fern epiphyte,NA,NA,NA,NA,epiphyte,NA,NA,NA
Asplenium gracillimum,NA,NA,NA,NA,rhizome,NA,NA,NA,NA
Asplenium hookerianum,NA,NA,NA,NA,rhizome,NA,NA,NA,NA
Asplenium polyodon,NA,NA,NA,NA,rhizome,NA,NA,NA,NA
Asplenium subglandulosum,NA,erect,NA,NA,rhizome,NA,NA,NA,NA
Asplenium trichomanes,NA,NA,NA,NA,rhizome,NA,NA,NA,NA
Asplenium trichomanes subsp. quadrivalens,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asplenium trichomanes subsp. trichomanes,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astartea,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Astartea sp. (Anglesea),NA,NA,NA,NA,NA,NA,NA,NA,NA
Astelia,herb,tufted,NA,perennial,rhizome,NA,dioecious,NA,NA
Astelia alpina,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astelia alpina var. novae-hollandiae,herb,tufted,NA,NA,rhizome,NA,NA,NA,NA
Astelia australiana,NA,tufted,NA,NA,rhizome,NA,NA,NA,NA
Astelia psychrocharis,herb,tufted,NA,NA,rhizome,NA,NA,NA,NA
Asteliaceae,herb,NA,NA,perennial,NA,NA,dioecious,NA,NA
Asteraceae,tree shrub herb,NA,NA,NA,NA,NA,NA,NA,NA
Asteridea,herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Asteridea athrixioides,NA,NA,NA,annual,NA,NA,NA,NA,NA
Asteriscus,shrub herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Asteriscus spinosus,herb,erect,NA,perennial,NA,NA,NA,NA,NA
Asterolasia,shrub,prostrate,NA,NA,NA,NA,NA,NA,NA
Asterolasia asteriscophora,shrub,erect,NA,NA,NA,NA,NA,NA,NA
Asterolasia asteriscophora subsp. albiflora,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asterolasia asteriscophora subsp. asteriscophora,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asterolasia phebalioides,shrub,open compact,NA,NA,NA,NA,NA,NA,NA
Asterolasia trymalioides,shrub,prostrate erect,NA,NA,NA,NA,NA,NA,NA
Asterolasia trymalioides subsp. trymalioides,shrub,prostrate spreading,NA,NA,NA,NA,NA,NA,NA
Asterolasia trymalioides subsp. villosa,shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Astrotricha,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Astrotricha asperifolia,shrub,erect,NA,NA,NA,NA,NA,NA,NA
Astrotricha asperifolia subsp. 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astrotricha asperifolia subsp. 2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astrotricha ledifolia,shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Astrotricha linearis,shrub,erect,NA,NA,NA,NA,NA,NA,NA
Astrotricha linearis subsp. 1,shrub,erect bushy,NA,NA,NA,NA,NA,NA,NA
Astrotricha linearis subsp. 2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astrotricha parvifolia,shrub,erect,NA,NA,NA,NA,NA,NA,NA
Astrotricha parvifolia subsp. 1,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Astrotricha parvifolia subsp. 2,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Astrotricha sp. 1,shrub,erect,NA,NA,NA,NA,NA,NA,NA
