"species","trait_name","trait_value","trait_name_standardised","trait_value_standardised","value_type","flowering_time_type","number_records","number_obs","percent_records","commonness","notes"
"Banksia candolleana","months_flowering_peak","May","flowering_time","NNNNYNNNNNNN",,"peak flowering",,,,,"from monthly chart ('fully open' ~100%, tallest bar)"
"Banksia candolleana","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia canei","growth_form","shrub","plant_growth_form","shrub",,,48,,92,"usually",""
"Banksia canei","growth_form","tree","plant_growth_form","tree",,,48,,6,"rarely",""
"Banksia canei","growth_form","unspecified",,,,,48,,2,"rarely",""
"Banksia canei","growth_response","unspecified",,,,,3,,100,,""
"Banksia canei","flowering_response","occurred after fire",,,,,2,,,,""
"Banksia canei","flowering_response","minimum time to flowering: <1 month","fire_time_from_fire_to_flowering","1","minimum",,2,,,,""
"Banksia canei","flowering_response","not occurred after fire",,,,,0,,,,""
"Banksia canei","pollinator_type","no pollinator observed",,,,,42,37,,,""
"Banksia canei","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,5,3,60,"usually",""
"Banksia canei","pollinator_type","bird","flower_visitor","bird",,,5,2,40,"commonly",""
"Banksia canei","specific_pollinator","bee (unspecified)","flower_visitor","bee",,,5,2,40,"commonly",""
"Banksia canei","specific_pollinator","honeyeater (unspecified); Yellow-tufted Honeyeater","flower_visitor","honeyeater",,,5,2,40,"commonly",""
"Banksia canei","months_flowering_range","Dec-May","flowering_time","YYYYYNNNNNNY",,"full range",,,,,"text: 'Flowers were recorded from December to May with a peak from February to April'; chart also shows a single minor 'fully open' record in Aug (1 record) not mentioned in the text"
"Banksia canei","months_flowering_peak","Feb-Apr","flowering_time","NYYYNNNNNNNN",,"peak flowering",,,,,"text and chart agree (Feb/Mar/Apr all ~90-100% 'fully open')"
"Banksia canei","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia chamaephyton","growth_form","shrub","plant_growth_form","shrub",,,36,,97,"usually",""
"Banksia chamaephyton","growth_form","unspecified",,,,,36,,3,"rarely",""
"Banksia chamaephyton","growth_response","no fire-response records",,,,,0,,,,""
"Banksia chamaephyton","pollinator_type","no pollinator observed",,,,,13,13,,,""
"Banksia chamaephyton","months_flowering_range","Nov-Dec","flowering_time","NNNNNNNNNNYY",,"full range",,,,,"text: 'Flowering is in November and December'; chart confirms 100% 'fully open' in both months and 0% in all others"
"Banksia chamaephyton","months_flowering_peak","Nov-Dec","flowering_time","NNNNNNNNNNYY",,"peak flowering",,,,,"both months at 100% 'fully open' in the chart"
"Banksia chamaephyton","months_fruiting_cones_present","none evident in chart",,,,,,,,,""
"Banksia coccinea","growth_form","tree","plant_growth_form","tree",,,171,,33,"commonly",""
"Banksia coccinea","growth_form","shrub","plant_growth_form","shrub",,,171,,65,"usually",""
"Banksia coccinea","growth_form","unspecified",,,,,171,,2,"rarely",""
"Banksia coccinea","growth_response","ground resprout and killed, new seedlings; killed, new seedlings","resprouting_capacity","fire_killed",,,18,18,100,,
"Banksia coccinea","growth_response","ground resprout and killed, new seedlings","resprouting_capacity","resprouts",,,18,1,6,,
"Banksia coccinea","growth_response","ground resprout and killed, new seedlings; killed, new seedlings","post_fire_recruitment","post_fire_recruitment",,,18,18,100,,
"Banksia coccinea","growth_response","ground resprout and killed, new seedlings","bud_bank_location","basal_buds",,,18,1,6,,
"Banksia coccinea","growth_response","unspecified",,,,,29,,38,,""
"Banksia coccinea","flowering_response","occurred after fire",,,,,15,,,,""
"Banksia coccinea","flowering_response","median time to flowering: 13-24 months","fire_time_from_fire_to_flowering","18.5","median",,15,,,,""
"Banksia coccinea","flowering_response","minimum time to flowering: <1 month","fire_time_from_fire_to_flowering","1","minimum",,15,,,,""
"Banksia coccinea","flowering_response","not occurred after fire",,,,,8,,,,""
"Banksia coccinea","flowering_response","median time to no flowering: 24-25 months","fire_time_from_fire_to_no_flowering","24.5","median",,8,,,,""
"Banksia coccinea","flowering_response","maximum time to no flowering: 49-60 months","fire_time_from_fire_to_no_flowering","54.5","maximum",,8,,,,""
"Banksia coccinea","pollinator_type","no pollinator observed",,,,,43,30,,,""
"Banksia coccinea","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,13,4,31,"commonly",""
"Banksia coccinea","pollinator_type","bird","flower_visitor","bird",,,13,9,69,"usually",""
"Banksia coccinea","specific_pollinator","ant","flower_visitor","ant",,,13,3,23,"occasionally",""
"Banksia coccinea","specific_pollinator","New Holland Honeyeater; Red Wattlebird; Western Spinebill","flower_visitor","honeyeater",,,13,9,69,"usually",""
"Banksia coccinea","specific_pollinator","rosella (unspecified)","flower_visitor","parrot",,,13,1,8,"rarely",""
"Banksia coccinea","months_flowering_range","May-Dec","flowering_time","NNNNYYYYYYYY",,"full range",,,,,"text: 'Flowering is from May to December with a peak from July to October'"
"Banksia coccinea","months_flowering_peak","Jul-Oct","flowering_time","NNNNNNYYYYNN",,"peak flowering",,,,,"text and chart agree (Jul ~90%, Aug ~90%, Sep ~65%, Oct ~95% 'fully open')"
"Banksia coccinea","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia conferta","growth_form","tree","plant_growth_form","tree",,,32,,9,"rarely",""
"Banksia conferta","growth_form","shrub","plant_growth_form","shrub",,,32,,91,"usually",""
"Banksia conferta","growth_response","killed, new seedlings","resprouting_capacity","fire_killed",,,4,4,100,,
"Banksia conferta","growth_response","killed, new seedlings","post_fire_recruitment","post_fire_recruitment",,,4,4,100,,
"Banksia conferta","growth_response","killed, new seedlings","bud_bank_location","none",,,4,4,100,,
"Banksia conferta","growth_response","unspecified",,,,,6,,33,,""
"Banksia conferta","flowering_response","occurred after fire",,,,,4,,,,""
"Banksia conferta","flowering_response","median time to flowering: 60-72 months","fire_time_from_fire_to_flowering","66","median",,4,,,,""
"Banksia conferta","flowering_response","minimum time to flowering: 49-60 months","fire_time_from_fire_to_flowering","54.5","minimum",,4,,,,""
"Banksia conferta","flowering_response","not occurred after fire",,,,,1,,,,""
"Banksia conferta","flowering_response","maximum time to no flowering: 37-48 months","fire_time_from_fire_to_no_flowering","42.5","maximum",,1,,,,""
"Banksia conferta","pollinator_type","no pollinator observed",,,,,22,17,,,""
"Banksia conferta","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,5,3,60,"usually",""
"Banksia conferta","pollinator_type","bird","flower_visitor","bird",,,5,1,20,"occasionally",""
"Banksia conferta","pollinator_type","flies","flower_visitor","fly",,,5,1,20,"occasionally",""
"Banksia conferta","specific_pollinator","ant","flower_visitor","ant",,,5,1,20,"occasionally",""
"Banksia conferta","specific_pollinator","bee (unspecified)","flower_visitor","bee",,,5,1,20,"occasionally",""
"Banksia conferta","months_flowering_range","Apr-Aug","flowering_time","NNNYYYYYNNNN",,"full range",,,,,"text: 'Limited records suggest a flowering period from autumn to late winter'"
"Banksia conferta","months_flowering_peak","Aug","flowering_time","NNNNNNNYNNNN",,"peak flowering",,,,,"from monthly chart, tallest 'fully open' bar (~100%); May and Jul also high (~90%)"
"Banksia conferta","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia conferta var. conferta","growth_form","tree","plant_growth_form","tree",,,6,,17,"occasionally",""
"Banksia conferta var. conferta","growth_form","shrub","plant_growth_form","shrub",,,6,,83,"usually",""
"Banksia conferta var. conferta","growth_response","killed, new seedlings","resprouting_capacity","fire_killed",,,3,3,100,,
"Banksia conferta var. conferta","growth_response","killed, new seedlings","post_fire_recruitment","post_fire_recruitment",,,3,3,100,,
"Banksia conferta var. conferta","growth_response","killed, new seedlings","bud_bank_location","none",,,3,3,100,,
"Banksia conferta var. conferta","growth_response","unspecified",,,,,5,,40,,""
"Banksia conferta var. conferta","flowering_response","occurred after fire",,,,,4,,,,""
"Banksia conferta var. conferta","flowering_response","median time to flowering: 61-72 months","fire_time_from_fire_to_flowering","66","median",,4,,,,""
"Banksia conferta var. conferta","flowering_response","minimum time to flowering: 49-60 months","fire_time_from_fire_to_flowering","54.5","minimum",,4,,,,""
"Banksia conferta var. conferta","flowering_response","not occurred after fire",,,,,0,,,,""
"Banksia conferta var. conferta","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,2,1,50,"usually",""
"Banksia conferta var. conferta","pollinator_type","bird","flower_visitor","bird",,,2,1,50,"usually",""
"Banksia conferta var. conferta","months_flowering_range","Apr, May, Aug","flowering_time","NNNYYNNYNNNN",,"full range",,,,,"THIN SAMPLE (6 total records). Chart shows 'fully open' at Apr (100%) and Aug (100%), with a small amount in May (~15%)"
"Banksia conferta var. conferta","months_flowering_peak","Apr and Aug (tied)","flowering_time","NNNYNNNYNNNN",,"peak flowering",,,,,"THIN SAMPLE - low confidence"
"Banksia conferta var. conferta","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia conferta var. penicillata","growth_form","tree","plant_growth_form","tree",,,26,,8,"rarely",""
"Banksia conferta var. penicillata","growth_form","shrub","plant_growth_form","shrub",,,26,,92,"usually",""
"Banksia conferta var. penicillata","growth_response","killed, new seedlings","resprouting_capacity","fire_killed",,,1,1,100,,
"Banksia conferta var. penicillata","growth_response","killed, new seedlings","post_fire_recruitment","post_fire_recruitment",,,1,1,100,,
"Banksia conferta var. penicillata","growth_response","killed, new seedlings","bud_bank_location","none",,,1,1,100,,
"Banksia conferta var. penicillata","flowering_response","occurred after fire",,,,,0,,,,""
"Banksia conferta var. penicillata","flowering_response","not occurred after fire",,,,,1,,,,""
"Banksia conferta var. penicillata","flowering_response","maximum time to no flowering: 37-48 months","fire_time_from_fire_to_no_flowering","42.5","maximum",,1,,,,""
"Banksia conferta var. penicillata","pollinator_type","no pollinator observed",,,,,20,17,,,""
"Banksia conferta var. penicillata","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,3,2,67,"usually",""
"Banksia conferta var. penicillata","pollinator_type","flies","flower_visitor","fly",,,3,1,33,"commonly",""
"Banksia conferta var. penicillata","specific_pollinator","ant","flower_visitor","ant",,,3,1,33,"commonly",""
"Banksia conferta var. penicillata","specific_pollinator","bee (unspecified)","flower_visitor","bee",,,3,1,33,"commonly",""
"Banksia conferta var. penicillata","months_flowering_range","Apr-Jul","flowering_time","NNNYYYYNNNNN",,"full range",,,,,"text: 'Flowering is from autumn through to winter'"
"Banksia conferta var. penicillata","months_flowering_peak","Jun","flowering_time","NNNNNYNNNNNN",,"peak flowering",,,,,"from monthly chart, tallest 'fully open' bar (~70%)"
"Banksia conferta var. penicillata","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia cuneata","growth_form","tree","plant_growth_form","tree",,,4,,50,"usually",""
"Banksia cuneata","growth_form","shrub","plant_growth_form","shrub",,,4,,50,"usually",""
"Banksia cuneata","growth_response","no fire-response records",,,,,0,,,,""
"Banksia cuneata","months_flowering_range","Jun","flowering_time","NNNNNYNNNNNN",,"full range",,,,,"DISCREPANCY FLAGGED: Discussion text states 'The species flowers in spring' but the monthly chart's only 'fully open' record is in June (100%), with Nov and Dec both showing only 'majority in bud'. THIN SAMPLE (4 total records: Jun=2, Nov=1, Dec=1) - recommend manual check of the original chart/text"
"Banksia cuneata","months_flowering_peak","Jun","flowering_time","NNNNNYNNNNNN",,"peak flowering",,,,,"only month with a 'fully open' record in the chart; THIN SAMPLE"
"Banksia cuneata","months_fruiting_cones_present","none evident in chart",,,,,,,,,""
"Banksia dentata","growth_form","tree","plant_growth_form","tree",,,133,,92,"usually",""
"Banksia dentata","growth_form","shrub","plant_growth_form","shrub",,,133,,5,"rarely",""
"Banksia dentata","growth_form","unspecified",,,,,133,,3,"rarely",""
"Banksia dentata","growth_response","killed, new seedlings; killed, no seedlings and trunk resprout","resprouting_capacity","fire_killed",,,28,5,18,,
"Banksia dentata","growth_response","ground resprout; trunk resprout; killed, no seedlings and trunk resprout","resprouting_capacity","resprouts",,,28,25,89,,
"Banksia dentata","growth_response","killed, new seedlings","post_fire_recruitment","post_fire_recruitment",,,28,3,11,,
"Banksia dentata","growth_response","killed, no seedlings and trunk resprout","post_fire_recruitment","post_fire_recruitment_absent",,,28,2,7,,
"Banksia dentata","growth_response","ground resprout","bud_bank_location","basal_buds",,,28,3,11,,
"Banksia dentata","growth_response","trunk resprout; killed, no seedlings and trunk resprout","bud_bank_location","epicormic_buds",,,28,22,79,,
"Banksia dentata","growth_response","unspecified",,,,,36,,22,,""
"Banksia dentata","flowering_response","occurred after fire",,,,,23,,,,""
"Banksia dentata","flowering_response","median time to flowering: 1-12 months","fire_time_from_fire_to_flowering","6.5","median",,23,,,,""
"Banksia dentata","flowering_response","minimum time to flowering: <1 month","fire_time_from_fire_to_flowering","1","minimum",,23,,,,""
"Banksia dentata","flowering_response","not occurred after fire",,,,,6,,,,""
"Banksia dentata","flowering_response","median time to no flowering: 1-12 months","fire_time_from_fire_to_no_flowering","6.5","median",,6,,,,""
"Banksia dentata","flowering_response","maximum time to no flowering: 13-24 months","fire_time_from_fire_to_no_flowering","18.5","maximum",,6,,,,""
"Banksia dentata","pollinator_type","no pollinator observed",,,,,44,43,,,""
"Banksia dentata","pollinator_type","bird","flower_visitor","bird",,,1,1,100,"usually",""
