taxon_name,original_text,text,leaf_lamina_posture_a,leaf_lamina_posture_f,checked leaf_lamina_posture,leaf_margin_posture_a,leaf_margin_posture_f,checked leaf_margin_posture,plant_photsynthetic_organ_a,plant_photsynthetic_organ_f,checked photosynthetic_organ
Atherosperma moschatum subsp. integrifolium,"Description: Slender shrub or small tree, 2-10 m high. Leaf lamina mostly lanceolate; margins entire, young leaves sometimes sparsely and irregularly toothed."," leaf lamina mostly lanceolate; margins entire, young leaves sometimes sparsely and irregularly toothed. ",,,,,,,leaf,leaf leaves,checked
Lepidosperma prospectum,"Description: Large caespitose perennial 0.6-1.2 m high, 0.4-1.5 m across. Rhizomes spreading, to at least 30 cm long. Culms 65-115 cm long, 5.3-7.9 mm wide; 0.9-2.2 mm thick, biconvex to planoconvex, striate or smooth, not grooved, margins scabrous, marginal hairs continuous along blade, antrorse, evenly spaced, not resinous, faces glabrous. Culms longer than leaves, culm to leaf ratio  0.9. Leaves equitant, spreading at 10-20 degrees in individual ramets, 44-98 cm long. Leaf sheath 6-13 cm long, mid-brown, or dark brown to almost black, not conspicuously resinous, leaf sheath margins translucent, glabrous, smooth or scabrous, face glabrous. Ligule with a free limb, acuminate, glabrous or scabrous. Leaf lamina well-developed, (25-)38-87 cm long, 3.8-7.4 mm wide, 0.3-0.7 mm thick, linear, biconvex to concavo-convex, coarsely or finely striate, not deeply grooved, leaf lamina margins concolorous, not resinous, scabrous, marginal hairs continuous along blade (not interrupted), antrorse, evenly spaced, leaf lamina faces glabrous. Involucral bract 5-17 cm long, sheath 12-48 mm long, green, yellow-brown, pale to dark brown, or grey, not resinous, sheath apex scabrous or puberulous, lamina 38-112 mm long, 2.3-3.3 mm wide, isobilaterally flattened along entire length, or triangular in section at bract lamina apex, scabrous, not resinous, apex acuminate. Inflorescence narrowly ovate, or narrowly elliptic, panicle-like; 8-17 cm long, 28-34 mm wide, with 3-4 orders of branching, primary axis 7-14-noded, lowest internode 30-47 mm long, lateral branches 1 per node, spikelets somewhat distanced near the base of the inflorescence, but contracted above primary or secondary branches, lowest lateral branch 40-91 mm long, 10-30 mm wide (including spikelets). Spikelet prophyll emarginate, margin, keel and abaxial face puberulous. Spikelets 35-90 per lowest lateral branch, 7.1-9.8 mm long; 1.7-3.1 mm diam., all flowers bisexual, fertile, rachilla straight. Sterile floral bracts 4 per spikelet, basal bracts 3.2-4.2 mm long, apex aristate, midrib raised, mucronate, abaxial face puberulous, margins puberulous. Fertile floral bracts 3 per spikelet, 6.9-8.3 mm long, 1.2-1.5 mm wide, apex subulate, not mucronate, midrib apparent, abaxial face puberulous, adaxial face glabrous, margins puberulous. Stamens 3, filaments 4.1-6.8 mm long; anthers 2.5-3.2 mm long, 0.4-0.5 mm wide, with a glabrous apical appendage 0.9-1.1 mm long. Style 3-branched, undivided part 2.6-3.7 mm long, glabrous, branches 1.9-2.7 mm long, hairy. Perianth scales 6, 1.2-1.8 mm long, 0.4-0.7 mm wide, narrow-ovate or ovate, apex caudate or subulate with antrorse hairs, base glabrous. Nutlet 3.7-4.5 mm long, 2.0-2.2 mm diam., ovate to elliptical in outline, ribs raised or almost flush, whitish, pale yellow to pale yellow-brown, glabrous, style base persistent, c. 0.15 mm long, 0.3 mm wide."," 0.9-2.2 mm thick, biconvex to planoconvex, striate or smooth, , margins scabrous, marginal hairs continuous along blade, antrorse, evenly spaced, , faces glabrous. leaves equitant, spreading at 10-20 degrees in individual ramets, 44-98 cm long. leaf sheath 6-13 cm long, mid-brown, or dark brown to almost black,  resinous, leaf sheath margins translucent, glabrous, smooth or scabrous, face glabrous. leaf lamina well-developed, (25-)38-87 cm long, 3.8-7.4 mm wide, 0.3-0.7 mm thick, linear, biconvex to concavo-convex, coarsely or finely striate,  grooved, leaf lamina margins concolorous, , scabrous, marginal hairs continuous along blade (), antrorse, evenly spaced, leaf lamina faces glabrous. ",planoconvex convex,"planoconvex, -convex, biconvex",checked,,,,leaf,"leaf leaves blade,",checked
Washingtonia robusta,"Description: Palm-tree, to c. 20 m high, trunk erect, usually tapered, to about 80 cm diam., ringed by close leaf scars. Leaves sometimes with a few dead hanging leaves. Adaxial hastula large, papery, more or less triangular, the margins irregular. fraying with age; leaf blades uniformly shiny green on both surfaces, nearly flat, the free portion of the segments usually drooping. Petioles of juvenile to half-grown trees armed with strong, sharp, orange-brown teeth 10-15 mm long along the full length, some teeth double-pointed; petioles of taller trees often reaching 1.4 m long, the margins entire or with some basal teeth to 3.0-3.5 mm long. Flowering branches often reaching c. 2.6 m long, arching well beyond the leaves, then drooping with weight of the fruits. Flowers white, short-pedicelled; calyx cupulate, 3-lobed, apices and margins irregular; petals basally connate into tube; stamens adnate briefly to petals; styles connate; stigma inconspicuous. Fruits ellipsoid, 7.5-10 mm long, blackish when ripe, the thin fleshy pericarp edible and sweet like a date, the fruits mostly falling with the dry, persistent calyx and short pedicel. Seeds 4.7-6.5 mm long, ellipsoid to globose, dark red-brown."," leaves sometimes with a few dead hanging leaves. adaxial hastula large, papery, more or less triangular, the margins irregular. fraying with age; leaf blades uniformly shiny green on both surfaces, nearly flat, the free portion of the segments usually drooping. petioles of juvenile to half-grown trees armed with strong, sharp, orange-brown teeth 10-15 mm long along the full length, some teeth double-pointed; petioles of taller trees often reaching 1.4 m long, the margins entire or with some basal teeth to 3.0-3.5 mm long. ",flat,"flat,",checked,,,,leaf,leaf leaves blades,checked
Ruellia squarrosa,"Description: Sprawling perennial shrub with branches to 60 (-100) cm long, densely white-pilose (some hairs with small glandular apex). Leaf blades mostly ovate to narrowly ovate, to 7 cm long and 2.7 cm wide, attenuate at base, entire, acute apically; younger leaves densely white-pilose, sparser with age; petioles to 2 cm long. Inflorescence axillary, solitary; bracteoles linear, 4.5-9 mm long, much shorter than calyx, pubescence as on stems and leaves but usually glandular. Flowers on pedicel to 1 mm long; calyx 10-16 mm long, with linear lobes joined only at the very base, reflexed after fruit is lost; corolla blue, finely pubescent externally on tube, throat and veins of lobes; tube c. 25 mm long; throat c. 12 mm long, curved slightly; lobes c. 15 mm long, more or less equal. Stamens with filaments c. 10 and 14 mm long. Stigma very unequally 2-lobed. Capsule 12-15 mm long, glabrous, 16-20-seeded, very shortly stipitate; seed c. 2 mm diam., thickened rim with mucilaginous hairs."," leaf blades mostly ovate to narrowly ovate, to 7 cm long and 2.7 cm wide, attenuate at base, entire, acute apically; younger leaves densely white-pilose, sparser with age; petioles to 2 cm long. ",,,,,,,leaf,leaf leaves blades,checked
Oreomyrrhis pulvinifica,"Description: Tufted perennial herb, 2-10 cm high, usually mat-forming, mostly glabrous; with much-branched creeping rootstock. Leaves pinnate,  ovate in outline, 0.5-2 cm long, 4-15 mm wide; leaflets 7-11,  linear, 3-8 mm long, 1-4 mm wide, acute, glabrous except for finely ciliate margins; leaf sheath ciliate; petiole usually 1-2.5 cm long. Umbels 5-12-flowered; peduncles usually 1-4 cm long, sparsely hirsute, usually slightly longer than leaves in fruit; bracts 5-8,  obtuse, 2-3.5 mm long. Petals 0.8-1 mm long, white (yellow when dried), glabrous. Fruit 2-12 per umbel;  ovate, 2.5-4 mm long, 1-1.5 mm wide, glabrous; mericarps with 5 prominent filiform ribs."," ; leaflets 7-11,  linear, 3-8 mm long, 1-4 mm wide, acute, glabrous except for finely ciliate margins; leaf sheath ciliate; petiole usually 1-2.5 cm long. sparsely hirsute, usually slightly longer than leaves infruit; ",,,,,,,leaf,leaf leaves leaflets,checked
Apium prostratum subsp. howense,"Description: Perennial herb, caespitose to trailing, strongly aromatic when bruised. Stems to 30 cm long. Leaves 1-3-pinnate, 2-17 cm long; petiole 1-10 cm long, with membranous, sheathing base; ultimate leaf segments narrow to linear, 1-3 mm broad, often 3-fid at apex. Inflorescence of 1 (-3) umbels per node, (8-) 12-flowered; peduncle 0.5-3 cm long; pedicels 1-5 mm long; bracts obsolete. Sepals obsolete. Petals c. 0.3 mm long, white to pinkish. Fruit rounded, 1.5 mm long, 2 mm broad; mericarps with spongy-corky, rounded, contiguous ribs; oil canals obscure"," leaves 1-3-pinnate, 2-17 cm long; petiole 1-10 cm long, with membranous, sheathingbase; ultimate leaf segments narrow to linear, 1-3 mm broad, often 3-fid at apex. ",,,,,,,leaf,"leaf leaves -pinnate,",checked
Akania bidwillii,"Description: Tree to c. 12 m high; bark grey to dark brown, finely scaled and wrinkled. Leaves mostly paripinnate, to 75 cm long; leaflets 8-31 per leaf, lanceolate, 10-28 cm long, 2-4.5 cm wide, apex acuminate, base obtuse to  cordate, margins regularly spinose-toothed, upper surface dark green and shiny, lower surface paler and dull; venation prominent, finely reticulate; petiole 10-15 cm long; petiolules swollen, 5-15 mm long; stipules subulate. Panicles usually 8-15 cm long; pedicels 5-20 mm long. Flowers white or pink, fragrant. Calyx 3-4 mm long. Corolla 8-12 mm long, pubescent. Capsule  ovoid to pyriform; 20-30 mm long, dull-red; seeds 1 or 2, 10-12 mm long, yellow, hanging  outside capsule on a thread at maturity."," ; leaflets 8-31 per leaf, lanceolate, 10-28 cm long, 2-4.5 cm wide, apex acuminate, base obtuse to  cordate, margins regularly spinose-toothed, upper surface dark green and shiny, lower surface paler and dull; petiole 10-15 cm long; petiolules swollen, 5-15 mm long; ",,,,,,,leaf,"leaf, leaflets",checked
Zantedeschia aethiopica,"Description: Robust clump-forming perennial herb, evergreen; stem shortly rhizomatous, subterranean. Leaves with lamina  sagittate, to c. 60 cm long and 30 cm wide, glabrous, leathery, glossy dark green to somewhat glaucous, tip bent downwards or curling towards back of leaf; petiole fleshy, to 1 (-1.5) m long. Peduncle equal to or slightly longer than petioles. Spathe to c. 25 cm long, white to ivory, sometimes green in the upper third. Spadix sessile, about half as long as the spathe. Female flowers interspersed with staminodes. Stamens and staminodes yellow-orange. Fruit irregularly globose, 5-10 mm long, orange when ripe; infructescence protected by persistent spathe base."," leaves with lamina  sagittate, to circa 60 cm long and 30 cm wide, glabrous, leathery, glossy dark green to somewhat glaucous, tip bent downwards or curling towards back of leaf; petiole fleshy, to 1 (-1.5) m long. ",,,,,,,leaf,leaf; leaves,checked
Syngonium podophyllum,"Description: Climber to over 10 m high on supporting vegetation. Stems 1-2.5 cm wide. Sap milky. Distinguished by juvenile simple arrowhead shaped leaves and thin adult leaves with 5-11 leaflets. Leaves alternate, adult leaves with leaf stalks 10-60 cm long, median adult leaflet 16-38 cm long, 6-17 cm wide. Flowers in spadixes, 4-11 spadixes per axil. Flowers enclosed in a cream-white to green spathe 9-11 cm long, male flowers above the female flowers. Fruit a red to reddish-orange berry when ripe. Seeds black or brown."," distinguished by  leaflet 16-38 cm long, 6-17 cm wide. ",,,,,,,leaf,leaflet,checked
Sambucus australasica,"Description: Evergreen shrub or small tree to 4 m high,  glabrous. Leaves imparipinnate, 6-25 cm long; leaflets 3 or 5, narrow-elliptic to oblanceolate, 2-10 cm long, 4-30 mm wide, apex acuminate, base usually not asymmetric, margins coarsely toothed, lamina soft and  glabrous; petiole 2-10 cm long, lateral petiolules 2-5 mm long; stipules lanceolate, peg-like, caducous, or even absent. Inflorescences 10-20 diam. Flowers usually 3-merous. Corolla c. 3 mm long, white. Fruit ovoid to  globose, c. 5 mm diam., yellow."," ; leaflets 3 or 5, narrowlyelliptic to oblanceolate, 2-10 cm long, 4-30 mm wide, apex acuminate, base usually , margins coarsely toothed, lamina soft and  glabrous; petiole 2-10 cm long, lateral petiolules 2-5 mm long; ",,,,,,,leaf,leaflets,checked
Sambucus gaudichaudiana,"Description: Evergreen shrub to 2 m high, herbaceous, grooved stems from a perennial tuberous /rhizomatous rootstock,  sparsely hispid. Leaves imparipinnate with some leaflets often further divided and leaves  bipinnate, 10-35 cm long; leaflets (3-)5-11, basal pair stipule-like; leaflets ovate to narrow-lanceolate, mostly 3-15 cm long, 10-60 mm wide, apex acuminate, base asymmetric, margins toothed to  lobed, lamina sparsely hispid; petiole  absent, lateral petiolules 3-10 mm long; stipules leaf-like. Inflorescences 8-20 cm diam. Flowers mostly 4-merous. Corolla c. 5 mm long, white. Fruit ovoid, c. 5 mm long, white, edible."," ; leaflets (3-)5-11. basal pair sti; leaflets ovate to narrowlylanceolate, mostly 3-15 cm long, 10-60 mm wide, apex acuminate, base asymmetric, margins toothed to  lobed, lamina sparsely hispid; petiole  absent, lateral petiolules 3-10 mm long; ",,,,,,,leaf,leaflets,checked
Sambucus nigra,"Description: Deciduous shrub, usually 2-5 m high, much-branched, woody, usually glabrous. Leaves imparipinnate; leaflets 3 to 7, ovate to  elliptic, mostly 4-8 cm long, 20-45 mm wide, apex acuminate to acute, base not asymmetric, margins regularly toothed in upper two-thirds, lamina  leathery, glabrescent; petiole 2-5 cm long, lateral petiolules 2-4 mm long; stipules usually small and caducous (or even absent). Inflorescences 5-20 cm diam. Corolla c. 3 mm long, white. Fruit  ovoid, c. 5 mm long, black."," ; leaflets 3 to 7, ovate to  elliptic, mostly 4-8 cm long, 20-45 mm wide, apex acuminate to acute, base , margins regularly toothed in upper two-thirds, lamina  leathery, glabrescent; petiole 2-5 cm long, lateral petiolules 2-4 mm long; ",,,,,,,leaf,leaflets,checked
