species,Fruit.Type.Botany,Fruit.Type.Specific,Fruit.Type.Function,Adaptive.Trait,Fruit.Length (mm),Fruit.Diameter (mm),Seed.Length (mm),Seed.Diameter (mm),Flowering time
Acacia lasiocarpa,dry,pod,dry,,,,,,
Acacia lateriticola,dry,pod,fleshy,aril,,,,,
Acacia latescens,dry,pod,fleshy,aril,,,,,
Acacia latifolia,dry,pod,dry,,,,,,`5-10
Acacia latipes,dry,pod,fleshy,aril,,,,,
Acacia latisepala,dry,pod,dry,,,,,,`7-9
Acacia latzii,dry,pod,fleshy,aril,,,,,
Acacia lazaridis,dry,pod,fleshy,aril,,,,,`2-11
Acacia legnota,dry,pod,fleshy,aril,,,,,
Acacia leichhardtii,dry,pod,fleshy,aril,,,,,
Acacia leiocalyx,dry,pod,dry,,,,,,
Acacia leioderma,dry,pod,dry,,,,,,
Acacia leiophylla,dry,pod,fleshy,aril,,,,,
Acacia lentiginea,dry,pod,dry,,,,,,
Acacia leprosa,dry,pod,dry,,,,,,
Acacia leptalea,dry,pod,fleshy,aril,,,,,
Acacia leptocarpa,dry,pod,fleshy,aril,,,,,
Acacia leptoclada,dry,pod,dry,,,,,,`8-10
Acacia leptoloba,dry,pod,fleshy,aril,,,,,`12-4
Acacia leptoneura,dry,pod,dry,,,,,,
Acacia leptopetala,dry,pod,fleshy,aril,,,,,
Acacia leptophleba,dry,pod,fleshy,aril,,,,,`4-9
Acacia leptospermoides,dry,pod,fleshy,aril,,,,,
Acacia leptostachya,dry,pod,fleshy,aril,,,,,
Acacia leucoclada,dry,pod,dry,,,,,,
Acacia leucolobia,dry,pod,fleshy,aril,,,,,
Acacia levata,dry,pod,fleshy,aril,,,,,
Acacia ligulata,dry,pod,fleshy,aril,,,,,
Acacia ligustrina,dry,pod,fleshy,aril,,,,,
Acacia limbata,dry,pod,fleshy,aril,,,,,`3-7
Acacia linarioides,dry,pod,dry,,,,,,`1-7
Acacia linearifolia,dry,pod,fleshy,aril,,,,,
Acacia lineata,dry,pod,fleshy,aril,,,,,
Acacia lineolata,dry,pod,fleshy,aril,,,,,
Acacia linifolia,dry,pod,fleshy,aril,,,,,
Acacia lirellata,dry,pod,fleshy,aril,,,,,
Acacia littorea,dry,pod,fleshy,aril,,,,,`8-12
Acacia lobulata,dry,pod,fleshy,aril,,,,,
Acacia loderi,dry,pod,fleshy,aril,,,,,
Acacia longifolia,dry,pod,fleshy,aril,,,,,
Acacia longipedunculata,dry,pod,dry,,,,,,
Acacia longiphyllodinea,dry,pod,dry,,,,,,`8-9
Acacia longispicata,dry,pod,dry,,,,,,
Acacia longispinea,dry,pod,dry,,,,,,
Acacia longissima,dry,pod,fleshy,aril,,,,,`1-5
Acacia loroloba,dry,pod,dry,,,,,,`12-3
Acacia loxophylla,dry,pod,dry,,,,,,
Acacia lucasii,dry,pod,fleshy,aril,,,,,
Acacia lullfitziorum,dry,pod,fleshy,aril,,,,,
Acacia lunata,dry,pod,fleshy,aril,,,,,
Acacia luteola,dry,pod,dry,,,,,,
Acacia lycopodiifolia,dry,pod,dry,,,,,,
Acacia lysiphloia,dry,pod,dry,,,,,,`4-9
Acacia mabellae,dry,pod,fleshy,aril,,,,,
Acacia macdonnellensis,dry,pod,fleshy,aril,,,,,
Acacia mackeyana,dry,pod,fleshy,aril,,,,,
Acacia macnuttiana,dry,pod,fleshy,aril,,,,,
Acacia maconochieana,dry,pod,fleshy,aril,,,,,
Acacia macradenia,dry,pod,fleshy,aril,,,,,
Acacia maidenii,dry,pod,fleshy,aril,,,,,`1-6
Acacia maitlandii,dry,pod,dry,,,,,,
Acacia malloclada,dry,pod,dry,,,,,,
Acacia mangium,dry,pod,fleshy,aril,,,,,
Acacia manipularis,dry,pod,fleshy,aril,,,,,
Acacia maranoensis,dry,pod,fleshy,aril,,,,,
Acacia marramamba,dry,pod,fleshy,aril,,,,,
Acacia masliniana,dry,pod,fleshy,aril,,,,,
Acacia matthewii,dry,pod,dry,,,,,,`8-11
Acacia maxwellii,dry,pod,fleshy,aril,,,,,
Acacia mearnsii,dry,pod,dry,,,,,,`10-12
Acacia megacephala,dry,pod,dry,,,,,,
Acacia megalantha,dry,pod,dry,,,,,,`4-9
Acacia meiantha,dry,pod,dry,,,,,,`7-10
Acacia meiosperma,dry,pod,fleshy,aril,,,,,
Acacia meisneri,dry,pod,dry,,,,,,`1-12
Acacia melanoxylon,dry,pod,fleshy,,,,,,
Acacia melleodora,dry,pod,fleshy,aril,,,,,
Acacia melvillei,dry,pod,fleshy,aril,,,,,
Acacia menzelii,dry,pod,fleshy,aril,,,,,
Acacia merinthophora,dry,pod,fleshy,aril,,,,,
Acacia merrallii,dry,pod,dry,,,,,,
Acacia merrickiae,dry,pod,dry,,,,,,
Acacia microbotrya,dry,pod,dry,,,,,,`3-6
Acacia microcalyx,dry,pod,dry,,,,,,
Acacia microcarpa,dry,pod,dry,,,,,,
Acacia microcephala,dry,pod,dry,,,,,,
Acacia microneura,dry,pod,dry,,,,,,
Acacia microsperma,dry,pod,dry,,,,,,
Acacia mimica,dry,pod,dry,,,,,,
Acacia mimula,dry,pod,dry,,,,,,
Acacia minutifolia,dry,pod,dry,,,,,,`4-8
Acacia minyura,dry,pod,dry,,,,,,
Acacia mitchellii,dry,pod,dry,,,,,,`11-3
Acacia mitodes,dry,pod,dry,,,,,,`5-6
Acacia moirii,dry,pod,dry,,,,,,
Acacia mollifolia,dry,pod,dry,,,,,,`3-5
Acacia montana,dry,pod,dry,,,,,,
Acacia monticola,dry,pod,dry,,,,,,`4-8
Acacia mooreana,dry,pod,dry,,,,,,
Acacia mountfordiae,dry,pod,dry,,,,,,`6-9
Acacia mucronata,dry,pod,dry,,,,,,`8-12
Acacia muelleriana,dry,pod,dry,,,,,,`8-1
Acacia multisiliqua,dry,pod,dry,,,,,,
Acacia multispicata,dry,pod,dry,,,,,,
Acacia multistipulosa,dry,pod,dry,,,,,,`3-6
Acacia murrayana,dry,pod,dry,,,,,,
Acacia mutabilis,dry,pod,dry,,,,,,
Acacia myrtifolia,dry,pod,dry,,,,,,
Acacia nanodealbata,dry,pod,dry,,,,,,`8-10
Acacia nematophylla,dry,pod,dry,,,,,,
Acacia neriifolia,dry,pod,dry,,,,,,
Acacia nervosa,dry,pod,dry,,,,,,
Acacia nesophila,dry,pod,dry,,,,,,
Acacia neurocarpa,dry,pod,dry,,,,,,
Acacia neurophylla,dry,pod,dry,,,,,,
Acacia newbeyi,dry,pod,dry,,,,,,
Acacia nigricans,dry,pod,dry,,,,,,
Acacia nigripilosa,dry,pod,dry,,,,,,
Acacia nitidula,dry,pod,dry,,,,,,
Acacia nivea,dry,pod,dry,,,,,,
Acacia nodiflora,dry,pod,dry,,,,,,
Acacia notabilis,dry,pod,dry,,,,,,
Acacia nuperrima,dry,pod,dry,,,,,,`1-10
Acacia nyssophylla,dry,pod,dry,,,,,,
Acacia obesa,dry,pod,dry,,,,,,
Acacia obliquinervia,dry,pod,dry,,,,,,
Acacia obovata,dry,pod,dry,,,,,,
Acacia obtecta,dry,pod,dry,,,,,,
Acacia obtusata,dry,pod,dry,,,,,,
Acacia obtusifolia,dry,pod,dry,,,,,,`11-1
Acacia octonervia,dry,pod,dry,,,,,,
Acacia oldfieldii,dry,pod,dry,,,,,,
Acacia olgana,dry,pod,dry,,,,,,`5-9
Acacia oligoneura,dry,pod,dry,,,,,,`1-5
Acacia olsenii,dry,pod,dry,,,,,,`5
Acacia omalophylla,dry,pod,dry,,,,,,
Acacia ommatosperma,dry,pod,dry,,,,,,
Acacia oncinocarpa,dry,pod,dry,,,,,,`3-8
Acacia oncinophylla,dry,pod,dry,,,,,,
Acacia ophiolithica,dry,pod,dry,,,,,,
Acacia oraria,dry,pod,dry,,,,,,
Acacia orbifolia,dry,pod,dry,,,,,,
Acacia orites,dry,pod,dry,,,,,,`8-9
Acacia orthocarpa,dry,pod,dry,,,,,,`1-12
Acacia orthotricha,dry,pod,dry,,,,,,
Acacia oshanesii,dry,pod,dry,,,,,,`1-12
Acacia oswaldii,dry,pod,dry,,,,,,
Acacia oxycedrus,dry,pod,dry,,,,,,`6-11
Acacia oxyclada,dry,pod,dry,,,,,,
Acacia pachyacra,dry,pod,dry,,,,,,
Acacia pachycarpa,dry,pod,dry,,,,,,
Acacia pachyphloia,dry,pod,dry,,,,,,`1-12
Acacia pachyphylla,dry,pod,dry,,,,,,
Acacia pachypoda,dry,pod,dry,,,,,,
Acacia pallidifolia,dry,pod,dry,,,,,,`9-10
Acacia palustris,dry,pod,dry,,,,,,
Acacia papulosa,dry,pod,dry,,,,,,
Acacia papyrocarpa,dry,pod,dry,,,,,,
Acacia paradoxa,dry,pod,dry,,,,,,
Acacia paraneura,dry,pod,dry,,,,,,
Acacia parramattensis,dry,pod,dry,,,,,,`11-4
Acacia parvipinnula,dry,pod,dry,,,,,,`9-12
Acacia pataczekii,dry,pod,dry,,,,,,
Acacia patagiata,dry,pod,dry,,,,,,
Acacia paula,dry,pod,dry,,,,,,`5-6
Acacia pedleyi,dry,pod,dry,,,,,,
Acacia pellita,dry,pod,dry,,,,,,`6-7
Acacia pelophila,dry,pod,dry,,,,,,
Acacia pendula,dry,pod,dry,,,,,,
Acacia penninervis,dry,pod,dry,,,,,,
Acacia pentadenia,dry,pod,dry,,,,,,
Acacia perangusta,dry,pod,dry,,,,,,
Acacia perryi,dry,pod,dry,,,,,,
Acacia petraea,dry,pod,dry,,,,,,`5-9
Acacia peuce,dry,pod,dry,,,,,,
Acacia phaeocalyx,dry,pod,dry,,,,,,
Acacia pharangites,dry,pod,dry,,,,,,
Acacia phasmoides,dry,pod,dry,,,,,,
Acacia phlebocarpa,dry,pod,dry,,,,,,
Acacia phlebopetala,dry,pod,dry,,,,,,
Acacia phlebophylla,dry,pod,dry,,,,,,`6-12
Acacia pickardii,dry,pod,dry,,,,,,
Acacia piligera,dry,pod,dry,,,,,,
Acacia pilligaensis,dry,pod,dry,,,,,,
Acacia pinguiculosa,dry,pod,dry,,,,,,
Acacia pinguifolia,dry,pod,dry,,,,,,
Acacia platycarpa,dry,pod,dry,,,,,,
Acacia plautella,dry,pod,dry,,,,,,
Acacia plectocarpa,dry,pod,dry,,,,,,
Acacia plicata,dry,pod,dry,,,,,,
Acacia podalyriifolia,dry,pod,dry,,,,,,`6-7
Acacia polifolia,dry,pod,dry,,,,,,
Acacia poliochroa,dry,pod,dry,,,,,,
Acacia polyadenia,dry,pod,dry,,,,,,
Acacia polybotrya,dry,pod,dry,,,,,,`7-10
Acacia polystachya,dry,pod,dry,,,,,,`4-7
Acacia porcata,dry,pod,dry,,,,,,`8-9
Acacia praelongata,dry,pod,dry,,,,,,
Acacia praemorsa,dry,pod,dry,,,,,,
Acacia praetermissa,dry,pod,dry,,,,,,`2-8
Acacia prainii,dry,pod,dry,,,,,,
Acacia pravifolia,dry,pod,dry,,,,,,
Acacia pravissima,dry,pod,dry,,,,,,
Acacia preissiana,dry,pod,dry,,,,,,
Acacia prismifolia,dry,pod,dry,,,,,,
Acacia pritzeliana,dry,pod,dry,,,,,,
Acacia producta,dry,pod,dry,,,,,,`1-12
Acacia profusa,dry,pod,dry,,,,,,
Acacia proiantha,dry,pod,dry,,,,,,
Acacia prominens,dry,pod,dry,,,,,,
Acacia pruinocarpa,dry,pod,dry,,,,,,`10-1
Acacia pruinosa,dry,pod,dry,,,,,,`8-10
Acacia pterocaulon,dry,pod,dry,,,,,,
Acacia ptychoclada,dry,pod,dry,,,,,,`1-4
Acacia ptychophylla,dry,pod,dry,,,,,,`4-7
Acacia pubescens,dry,pod,dry,,,,,,`8-10
Acacia pubicosta,dry,pod,dry,,,,,,
Acacia pubifolia,dry,pod,dry,,,,,,`9-11
Acacia pubirhachis,dry,pod,dry,,,,,,`7-9
Acacia pulchella,dry,pod,dry,,,,,,
Acacia pulviniformis,dry,pod,dry,,,,,,
Acacia puncticulata,dry,pod,dry,,,,,,
Acacia purpureopetala,dry,pod,dry,,,,,,
Acacia pusilla,dry,pod,dry,,,,,,
Acacia pustula,dry,pod,dry,,,,,,
Acacia pycnantha,dry,pod,dry,,,,,,
Acacia pycnocephala,dry,pod,dry,,,,,,
Acacia pycnostachya,dry,pod,dry,,,,,,`8-10
Acacia pygmaea,dry,pod,dry,,,,,,`11-3
Acacia pyrifolia,dry,pod,dry,,,,,,
Acacia quadrilateralis,dry,pod,dry,,,,,,
Acacia quadrimarginea,dry,pod,dry,,,,,,
Acacia quadrisulcata,dry,pod,dry,,,,,,
Acacia quinquenervia,dry,pod,dry,,,,,,
Acacia quornensis,dry,pod,dry,,,,,,
Acacia racospermoides,dry,pod,dry,,,,,,
Acacia ramiflora,dry,pod,dry,,,,,,
Acacia ramulosa,dry,pod,dry,,,,,,
Acacia recurvata,dry,pod,dry,,,,,,
Acacia redolens,dry,pod,dry,,,,,,
Acacia rendlei,dry,pod,dry,,,,,,
Acacia repanda,dry,pod,dry,,,,,,
Acacia repens,dry,pod,dry,,,,,,`3
Acacia resinicostata,dry,pod,dry,,,,,,
Acacia resinimarginea,dry,pod,dry,,,,,,
Acacia resinistipulea,dry,pod,dry,,,,,,
Acacia resinosa,dry,pod,dry,,,,,,
Acacia restiacea,dry,pod,dry,,,,,,
Acacia retinervis,dry,pod,dry,,,,,,`5-7
Acacia retinodes,dry,pod,dry,,,,,,
Acacia retivenea,dry,pod,dry,,,,,,
Acacia retrorsa,dry,pod,dry,,,,,,
Acacia rhamphophylla,dry,pod,dry,,,,,,
Acacia rhetinocarpa,dry,pod,dry,,,,,,
Acacia rhigiophylla,dry,pod,dry,,,,,,`9-10
Acacia rhodophloia,dry,pod,dry,,,,,,`5-10
Acacia rhodoxylon,dry,pod,dry,,,,,,
Acacia riceana,dry,pod,dry,,,,,,`7-1
Acacia richardsii,dry,pod,dry,,,,,,
Acacia ridleyana,dry,pod,dry,,,,,,
Acacia rigens,dry,pod,dry,,,,,,
Acacia rigescens,dry,pod,dry,,,,,,`6-7
Acacia rigida,dry,pod,dry,,,,,,
Acacia rivalis,dry,pod,dry,,,,,,
Acacia robinae,dry,pod,dry,,,,,,
Acacia rossei,dry,pod,dry,,,,,,
Acacia rostellata,dry,pod,dry,,,,,,
Acacia rostellifera,dry,pod,dry,,,,,,
Acacia rothii,dry,pod,dry,,,,,,
Acacia roycei,dry,pod,dry,,,,,,
Acacia rubida,dry,pod,dry,,,,,,
Acacia rupicola,dry,pod,dry,,,,,,
Acacia ruppii,dry,pod,dry,,,,,,
Acacia ryaniana,dry,pod,dry,,,,,,
Acacia sabulosa,dry,pod,dry,,,,,,
Acacia saliciformis,dry,pod,dry,,,,,,
Acacia salicina,dry,pod,dry,,,,,,`4-6
Acacia saligna,dry,pod,dry,,,,,,
Acacia saxatilis,dry,pod,dry,,,,,,
Acacia saxicola,dry,pod,dry,,,,,,
Acacia scalena,dry,pod,dry,,,,,,
Acacia scalpelliformis,dry,pod,dry,,,,,,
Acacia schinoides,dry,pod,dry,,,,,,`11-2
Acacia sciophanes,dry,pod,dry,,,,,,
Acacia scirpifolia,dry,pod,dry,,,,,,
Acacia scleroclada,dry,pod,dry,,,,,,
Acacia sclerophylla,dry,pod,dry,,,,,,
Acacia sclerosperma,dry,pod,dry,,,,,,
Acacia scopulorum,dry,pod,dry,,,,,,
Acacia sedifolia,dry,pod,dry,,,,,,
Acacia semicircinalis,dry,pod,dry,,,,,,
Acacia semilunata,dry,pod,dry,,,,,,
Acacia semirigida,dry,pod,dry,,,,,,
Acacia semitrullata,dry,pod,dry,,,,,,
Acacia sericata,dry,pod,dry,,,,,,
Acacia sericocarpa,dry,pod,dry,,,,,,
Acacia sericoflora,dry,pod,dry,,,,,,`6-7
Acacia sertiformis,dry,pod,dry,,,,,,
Acacia sessilis,dry,pod,dry,,,,,,
Acacia sessilispica,dry,pod,dry,,,,,,
Acacia setulifera,dry,pod,dry,,,,,,
Acacia shirleyi,dry,pod,dry,,,,,,`3-7
Acacia shuttleworthii,dry,pod,dry,,,,,,
Acacia sibilans,dry,pod,dry,,,,,,
Acacia sibina,dry,pod,dry,,,,,,
Acacia siculiformis,dry,pod,dry,,,,,,
Acacia signata,dry,pod,dry,,,,,,
Acacia silvestris,dry,pod,dry,,,,,,`7-9
Acacia simsii,dry,pod,dry,,,,,,
Acacia simulans,dry,pod,dry,,,,,,
Acacia singula,dry,pod,dry,,,,,,
Acacia smeringa,dry,pod,dry,,,,,,`5-6
Acacia solenota,dry,pod,dry,,,,,,
Acacia sorophylla,dry,pod,dry,,,,,,
Acacia spania,dry,pod,dry,,,,,,`8
Acacia sparsiflora,dry,pod,dry,,,,,,
Acacia spathulifolia,dry,pod,dry,,,,,,
Acacia speckii,dry,pod,dry,,,,,,
Acacia spectabilis,dry,pod,dry,,,,,,`7-11
Acacia sphacelata,dry,pod,dry,,,,,,
Acacia sphaerostachya,dry,pod,dry,,,,,,
Acacia sphenophylla,dry,pod,dry,,,,,,
Acacia spilleriana,dry,pod,dry,,,,,,
Acacia spinescens,dry,pod,dry,,,,,,
Acacia spinosissima,dry,pod,dry,,,,,,
Acacia spondylophylla,dry,pod,dry,,,,,,
Acacia spongolitica,dry,pod,dry,,,,,,
Acacia squamata,dry,pod,dry,,,,,,
Acacia startii,dry,pod,dry,,,,,,
Acacia steedmanii,dry,pod,dry,,,,,,
Acacia stellaticeps,dry,pod,dry,,,,,,`2-9
Acacia stenophylla,dry,pod,dry,,,,,,
Acacia stenoptera,dry,pod,dry,,,,,,
Acacia stereophylla,dry,pod,dry,,,,,,
Acacia stigmatophylla,dry,pod,dry,,,,,,`5-6
Acacia stipuligera,dry,pod,dry,,,,,,`5-8
Acacia stipulosa,dry,pod,dry,,,,,,
Acacia storyi,dry,pod,dry,,,,,,`4-8
Acacia stowardii,dry,pod,dry,,,,,,`1-12
Acacia striatifolia,dry,pod,dry,,,,,,`8-9
Acacia stricta,dry,pod,dry,,,,,,
Acacia strongylophylla,dry,pod,dry,,,,,,
Acacia suaveolens,dry,pod,dry,,,,,,
Acacia subcaerulea,dry,pod,dry,,,,,,
Acacia suberosa,dry,pod,dry,,,,,,`4-8
Acacia subflexuosa,dry,pod,dry,,,,,,
Acacia sublanata,dry,pod,dry,,,,,,
Acacia subporosa,dry,pod,dry,,,,,,
Acacia subracemosa,dry,pod,dry,,,,,,
Acacia subrigida,dry,pod,dry,,,,,,
Acacia subsessilis,dry,pod,dry,,,,,,
Acacia subternata,dry,pod,dry,,,,,,`3-9
Acacia subtessarogona,dry,pod,dry,,,,,,
Acacia subtilinervis,dry,pod,dry,,,,,,`8-12
Acacia subulata,dry,pod,dry,,,,,,
Acacia sulcata,dry,pod,dry,,,,,,
Acacia sutherlandii,dry,pod,dry,,,,,,
Acacia symonii,dry,pod,dry,,,,,,
Acacia synchronicia,dry,pod,dry,,,,,,
Acacia tarculensis,dry,pod,dry,,,,,,
Acacia tayloriana,dry,pod,dry,,,,,,
Acacia telmica,dry,pod,dry,,,,,,
Acacia tenuinervis,dry,pod,dry,,,,,,`8-9
Acacia tenuior,dry,pod,dry,,,,,,
Acacia tenuispica,dry,pod,dry,,,,,,
Acacia tenuissima,dry,pod,dry,,,,,,`3-8
Acacia tephrina,dry,pod,dry,,,,,,
Acacia teretifolia,dry,pod,dry,,,,,,
Acacia terminalis,dry,pod,dry,,,,,,`2-10
Acacia tessellata,dry,pod,dry,,,,,,`1-2
Acacia tetanophylla,dry,pod,dry,,,,,,
Acacia tetragonocarpa,dry,pod,dry,,,,,,
Acacia tetragonophylla,dry,pod,dry,,,,,,
Acacia tetraneura,dry,pod,dry,,,,,,
Acacia tetraptera,dry,pod,dry,,,,,,
Acacia thomsonii,dry,pod,dry,,,,,,
Acacia tindaleae,dry,pod,dry,,,,,,
Acacia tolmerensis,dry,pod,dry,,,,,,
Acacia torticarpa,dry,pod,dry,,,,,,
Acacia torulosa,dry,pod,dry,,,,,,`3-7
Acacia trachycarpa,dry,pod,dry,,,,,,`5-8
Acacia trachyphloia,dry,pod,dry,,,,,,`8-10
Acacia translucens,dry,pod,dry,,,,,,`1-10
Acacia tratmaniana,dry,pod,dry,,,,,,
Acacia trigonophylla,dry,pod,dry,,,,,,
Acacia trinalis,dry,pod,dry,,,,,,
Acacia trinervata,dry,pod,dry,,,,,,
Acacia trineura,dry,pod,dry,,,,,,
Acacia triptera,dry,pod,dry,,,,,,`8-11
Acacia triptycha,dry,pod,dry,,,,,,
Acacia triquetra,dry,pod,dry,,,,,,
Acacia tropica,dry,pod,dry,,,,,,`6-8
Acacia truculenta,dry,pod,dry,,,,,,
Acacia trulliformis,dry,pod,dry,,,,,,
Acacia truncata,dry,pod,dry,,,,,,`6-9
Acacia tuberculata,dry,pod,dry,,,,,,
Acacia tumida,dry,pod,dry,,,,,,`5-7
Acacia tysonii,dry,pod,dry,,,,,,
Acacia ulicifolia,dry,pod,dry,,,,,,`4-10
Acacia ulicina,dry,pod,dry,,,,,,
Acacia uliginosa,dry,pod,dry,,,,,,
Acacia umbellata,dry,pod,dry,,,,,,`4-7
Acacia uncifera,dry,pod,dry,,,,,,
Acacia uncinata,dry,pod,dry,,,,,,
Acacia uncinella,dry,pod,dry,,,,,,
Acacia undoolyana,dry,pod,dry,,,,,,`8-9
Acacia undosa,dry,pod,dry,,,,,,
Acacia undulifolia,dry,pod,dry,,,,,,
Acacia unguicula,dry,pod,dry,,,,,,
Acacia unifissilis,dry,pod,dry,,,,,,
Acacia urophylla,dry,pod,dry,,,,,,
Acacia valida,dry,pod,dry,,,,,,`7-10
Acacia validinervia,dry,pod,dry,,,,,,
Acacia varia,dry,pod,dry,,,,,,
Acacia vassalii,dry,pod,dry,,,,,,
Acacia venulosa,dry,pod,dry,,,,,,
Acacia verniciflua,dry,pod,dry,,,,,,
Acacia veronica,dry,pod,dry,,,,,,
Acacia verricula,dry,pod,dry,,,,,,
Acacia verticillata,dry,pod,dry,,,,,,`7-12
Acacia vestita,dry,pod,dry,,,,,,
Acacia victoriae,dry,pod,dry,,,,,,
Acacia vincentii,dry,pod,dry,,,,,,
Acacia viscidula,dry,pod,dry,,,,,,
Acacia viscifolia,dry,pod,dry,,,,,,
Acacia vittata,dry,pod,dry,,,,,,
Acacia volubilis,dry,pod,dry,,,,,,
Acacia wanyu,dry,pod,dry,,,,,,
Acacia wardellii,dry,pod,dry,,,,,,
Acacia warramaba,dry,pod,dry,,,,,,
Acacia wattsiana,dry,pod,dry,,,,,,
Acacia websteri,dry,pod,dry,,,,,,
Acacia whibleyana,dry,pod,dry,,,,,,
Acacia whitei,dry,pod,dry,,,,,,`3-12
Acacia wickhamii,dry,pod,dry,,,,,,
Acacia wilcoxii,dry,pod,dry,,,,,,
Acacia wilhelmiana,dry,pod,dry,,,,,,
Acacia willdenowiana,dry,pod,dry,,,,,,
Acacia williamsonii,dry,pod,dry,,,,,,
Acacia wilsonii,dry,pod,dry,,,,,,
Acacia wiseana,dry,pod,dry,,,,,,
Acacia xanthina,dry,pod,dry,,,,,,
Acacia xanthocarpa,dry,pod,dry,,,,,,
Acacia xerophila,dry,pod,dry,,,,,,
Acacia xiphophylla,dry,pod,dry,,,,,,
Acacia yirrkallensis,dry,pod,dry,,,,,,`6-1
Acacia yorkrakinensis,dry,pod,dry,,,,,,
Acacia zatrichota,dry,pod,dry,,,,,,`6-7
Acanthocarpus canaliculatus,dry,capsule,dry,,3.5,,,3,`6-10
Acanthocarpus humilis,dry,capsule,dry,,4.5,,4,,
Acanthocarpus parviflorus,dry,capsule,dry,,4.5,,3.75,,`5-6
Acanthocarpus preissii,dry,capsule,dry,,6.5,,,4.5,`4-5
Acanthocarpus robustus,dry,capsule,dry,,6.5,,4.5,,
Acanthocarpus rupestris,dry,capsule,dry,,4.25,,,2.5,`5-6
Acanthocarpus verticillatus,dry,capsule,dry,,6,,4,,
Acidonia microcarpa,fleshy,drupe,fleshy,,,,,,`10-12
Adenanthera abrosperma,dry,pod,dry,,150,15,8,,
Adenanthos acanthophyllus,dry,achene,dry,,,,,,`4-6
Adenanthos apiculatus,dry,achene,dry,,,,,,`8-11
Adenanthos argyreus,dry,achene,dry,,,,,,`8-10
Adenanthos barbiger,dry,achene,dry,,,,,,`8-12
Adenanthos cacomorphus,dry,achene,dry,,,,,,`11-3
Adenanthos cuneatus,dry,achene,dry,,,,,,`8-11
Adenanthos cygnorum,dry,achene,dry,,,,,,
Adenanthos detmoldii,dry,achene,dry,,,,,,`8-11
Adenanthos dobagii,dry,achene,dry,,,,,,`8-11
Adenanthos dobsonii,dry,achene,dry,,,,,,`8-12
Adenanthos drummondii,dry,achene,dry,,,,,,`8-11
Adenanthos ellipticus,dry,achene,dry,,,,,,`8-11
Adenanthos eyrei,dry,achene,dry,,,,,,`10
Adenanthos filifolius,dry,achene,dry,,,,,,`8-12
Adenanthos flavidiflorus,dry,achene,dry,,,,,,`11-1
Adenanthos forrestii,dry,achene,dry,,,,,,`8-11
Adenanthos glabrescens,dry,achene,dry,,,,,,
Adenanthos gracilipes,dry,achene,dry,,,,,,`8-12
Adenanthos ileticos,dry,achene,dry,,,,,,`8-10
Adenanthos labillardierei,dry,achene,dry,,,,,,`9-12
Adenanthos linearis,dry,achene,dry,,,,,,`1-3
Adenanthos macropodianus,dry,achene,dry,,,,,,`1-12
Adenanthos meisneri,dry,achene,dry,,,,,,`9-12
Adenanthos obovatus,dry,achene,dry,,,,,,`8-12
Adenanthos oreophilus,dry,achene,dry,,,,,,`8-12
Adenanthos pungens,dry,achene,dry,,,,,,
Adenanthos sericeus,dry,achene,dry,,,,,,
Adenanthos stictus,dry,achene,dry,,,,,,`8-11
Adenanthos terminalis,dry,achene,dry,,,,,,`8-1
Adenanthos velutinus,dry,achene,dry,,,,,,
Adenanthos venosus,dry,achene,dry,,,,,,`8-11
Agastachys odorata,dry,nut,dry,,4,,,,`1-2
Agrostocrinum scabrum,dry,capsule,dry,,,5.5,2.5,,
Ailanthus triphysa,dry,samara,dry,,62.5,20,,,
Akania lucens,dry,capsule,dry,,25,,11,,
Alangium villosum,fleshy,drupe,fleshy,,20,10,,,
Alania endlicheri,dry,capsule,dry,,2.75,,1,,
Albizia canescens,dry,pod,dry,,290,4,10,8.75,
Albizia procera,dry,pod,dry,,175,21,7.5,5.25,
Alectryon connatus,dry,capsule,fleshy,aril,10,14,,,
Alectryon coriaceus,dry,capsule,fleshy,aril,9,9,,,
Alectryon forsythii,dry,capsule,fleshy,aril,8,12,,,
Alectryon kimberleyanus,dry,capsule,fleshy,aril,11,20.5,,,
Alectryon repandodentatus,dry,capsule,fleshy,aril,7,15,,,
Alectryon subcinereus,dry,capsule,fleshy,aril,9,12,,,
Alectryon subdentatus,dry,capsule,fleshy,aril,10,17,,,
Alectryon tomentosus,dry,capsule,fleshy,aril,10,15,,,
Alectryon unilobatus,dry,capsule,fleshy,aril,12,11,,,
Allocasuarina acuaria,dry,samara,dry,,6,,,,
Allocasuarina acutivalvis,dry,samara,dry,,9,,,,
Allocasuarina brachystachya,dry,samara,dry,,3.25,,,,
Allocasuarina campestris,dry,samara,dry,,7.35,,,,
Allocasuarina corniculata,dry,samara,dry,,3.5,,,,
Allocasuarina crassa,dry,samara,dry,,6.5,,,,
Allocasuarina decaisneana,dry,samara,dry,,12.75,,,,
Allocasuarina decussata,dry,samara,dry,,8,,,,
Allocasuarina defungens,dry,samara,dry,,3,,,,
Allocasuarina dielsiana,dry,samara,dry,,9,,,,
Allocasuarina diminuta,dry,samara,dry,,4.25,,,,
Allocasuarina distyla,dry,samara,dry,,6,,,,
Allocasuarina drummondiana,dry,samara,dry,,3.5,,,,
Allocasuarina emuina,dry,samara,dry,,6,,,,
Allocasuarina eriochlamys,dry,samara,dry,,7.75,,,,
Allocasuarina fibrosa,dry,samara,dry,,6.5,,,,
