SPECIES,growth form,plant longevity,extreme min height (m),min height (m),max height (m),extreme max height (m),flowering start (month),flowering finish (month),leaf type (compound/simple),leaf longevity (evergreen/deciduous)
Baeckea platycephala,shrub,perennial assumed,,,1,,9,10,,
Baeckea polystemonea,shrub,perennial assumed,,1.5,2.5,,4,8,,
Baeckea preissiana,shrub,perennial assumed,,,2,,8,11,,
Baeckea pulchella,shrub,perennial assumed,,,,,,,,
Baeckea pygmaea,shrub,perennial assumed,,0.15,0.8,,10,3,,
Baeckea robusta,shrub,perennial assumed,,0.9,2.6,,6,12,,
Baeckea staminosa,shrub,perennial assumed,,,0.25,,,,,
Baeckea subcuneata,shrub,perennial assumed,,0.8,1.5,,8,11,,
Baeckea tenuiramea,,,,,,,,,,
Baeckea thymoides,,,,,,,,,,
Baeckea uncinella,shrub,perennial assumed,,0.4,1.5,,10,11,,
Balaustion pulcherrimum,shrub,perennial assumed,,0.02,0.3,,6,12,,
Banksia acanthopoda,shrub,perennial assumed,,0.9,3,,JUL,OCT,,
Banksia aculeata,shrub,perennial assumed,,,2,,FEB,MAR,,
Banksia acuminata,shrub,perennial assumed,,,0.2,,OCT,OCT,,
Banksia alliacea,shrub,perennial assumed,,0.4,2,,SEP,MAY,,
Banksia anatona,shrub,perennial assumed,,,5,,JAN,MAR,,
Banksia arborea,shrub/tree,perennial assumed,,2,8,,MAR,OCT,,
Banksia arctotidis,shrub,perennial assumed,,0.2,0.3,,SEP,OCT,,
Banksia armata,shrub,perennial assumed,,0.2,3,,JUN,NOV,,
Banksia ashbyi,shrub/tree,perennial assumed,,1,8,,FEB,DEC,,
Banksia attenuata,shrub/tree,perennial assumed,,0.4,10,,OCT,FEB,,
Banksia audax,shrub,perennial assumed,,0.35,1,,NOV,JAN,,
Banksia aurantia,shrub,perennial assumed,,,,,APR,APR,,
Banksia baueri,shrub,perennial assumed,,0.5,2,,MAY,OCT,,
Banksia baxteri,shrub,perennial assumed,,1.7,4,,AUG,MAY,,
Banksia bella,shrub,perennial assumed,,0.4,2,,OCT,OCT,,
Banksia benthamiana,shrub,perennial assumed,,1.8,4,,NOV,JAN,,
Banksia bipinnatifida,shrub,perennial assumed,,0.1,0.3,,OCT,NOV,,
Banksia biterax,shrub,perennial assumed,,1,2.5,,MAY,OCT,,
Banksia blechnifolia,shrub,perennial assumed,,,0.7,,SEP,NOV,,
Banksia borealis,shrub,perennial assumed,,0.3,2.5,,JUL,NOV,,
Banksia brownii,shrub/tree,perennial assumed,,1,6,,MAR,JUL,,
Banksia brunnea,shrub,perennial assumed,,0.1,0.5,,JUL,OCT,,
Banksia burdettii,shrub,perennial assumed,,,4,,JAN,MAY,,
Banksia caleyi,shrub,perennial assumed,,0.6,2,,OCT,DEC,,
Banksia calophylla,shrub,perennial assumed,,,0.3,0.5,OCT,JAN,,
Banksia candolleana,shrub,perennial assumed,,0.5,1.3,4,APR,JUL,,
Banksia carlinoides,shrub,perennial assumed,,0.3,1.3,,AUG,NOV,,
Banksia catoglypta,shrub,perennial assumed,,,1,,JUN,JUL,,
Banksia chamaephyton,shrub,perennial assumed,,,0.4,,OCT,DEC,,
Banksia cirsioides,shrub,perennial assumed,,0.5,2,,MAY,NOV,,
Banksia coccinea,shrub/tree,perennial assumed,,1,8,,MAY,JAN,,
Banksia columnaris,shrub,perennial assumed,,1,2,,MAY,AUG,,
Banksia comosa,shrub,perennial assumed,,0.9,2,,AUG,OCT,,
Banksia concinna,shrub,perennial assumed,,1,3,,AUG,NOV,,
Banksia corvijuga,shrub,perennial assumed,,0.4,1.3,,SEP,OCT,,
Banksia cuneata,shrub/tree,perennial assumed,,2,4,,SEP,DEC,,
Banksia cynaroides,shrub,perennial assumed,,0.9,1.5,,AUG,FEB,,
Banksia cypholoba,shrub,perennial assumed,,,0.3,,AUG,AUG,,
Banksia dallanneyi,shrub,perennial assumed,,,3,,MAY,OCT,,
Banksia densa,shrub,perennial assumed,0.2,0.6,3,,JUN,SEP,,
Banksia dentata,tree,perennial assumed,,2.5,8,,NOV,JUL,,
Banksia drummondii,shrub,perennial assumed,,0.2,1.5,,MAY,JAN,,
Banksia dryandroides,shrub,perennial assumed,,0.2,1,,SEP,JAN,,
Banksia echinata,shrub,perennial assumed,,0.6,3,,JUL,NOV,,
Banksia elderiana,shrub,perennial assumed,,1,4,,JAN,MAY,,
Banksia elegans,shrub,perennial assumed,,1,4,,OCT,NOV,,
Banksia epica,shrub,perennial assumed,,0.3,2,,APR,JUN,,
Banksia epimicta,shrub,perennial assumed,,,,,JUL,SEP,,
Banksia erythrocephala,shrub,perennial assumed,,0.3,1.2,,OCT,JUN,,
Banksia falcata,shrub,perennial assumed,0.4,0.6,2,3,SEP,JAN,,
Banksia fasciculata,shrub,perennial assumed,,1,2.5,,MAY,AUG,,
Banksia fililoba,shrub,perennial assumed,,,1,,MAY,JUL,,
Banksia foliolata,shrub,perennial assumed,,1,2,,SEP,NOV,,
Banksia foliosissima,shrub,perennial assumed,,1,2,3,MAY,AUG,,
Banksia formosa,shrub,perennial assumed,,1,3,,MAY,DEC,,
Banksia fraseri,shrub,perennial assumed,,0.2,0.6,,APR,SEP,,
Banksia fuscobractea,shrub,perennial assumed,,,1,,JUL,OCT,,
Banksia gardneri,shrub,perennial assumed,,,0.35,,APR,NOV,,
Banksia glaucifolia,shrub,perennial assumed,,0.5,1.5,,JUL,OCT,,
Banksia goodii,shrub,perennial assumed,,,0.2,,MAY,NOV,,
Banksia grandis,shrub/tree,perennial assumed,,1.5,10,,SEP,JAN,,
Banksia grossa,shrub,perennial assumed,,0.4,1,,MAR,SEP,,
Banksia heliantha,shrub,perennial assumed,,0.6,3,,MAR,OCT,,
Banksia hewardiana,shrub,perennial assumed,,1,5,,JUL,NOV,,
Banksia hirta,shrub,perennial assumed,,1,2.5,,MAY,OCT,,
Banksia hookeriana,shrub,perennial assumed,,0.5,3,,APR,OCT,,
Banksia horrida,shrub,perennial assumed,,0.6,1.6,,APR,AUG,,
Banksia idiogenes,shrub,perennial assumed,,,0.5,0.7,AUG,AUG,,
Banksia ilicifolia,shrub/tree,perennial assumed,,,12,,JAN,DEC,,
Banksia incana,shrub,perennial assumed,,0.2,0.7,1.5,NOV,APR,,
Banksia insulanemorecincta,shrub,perennial assumed,,,1,,JUN,SEP,,
Banksia ionthocarpa,shrub,perennial assumed,,,0.45,,SEP,OCT,,
Banksia kippistiana,shrub,perennial assumed,,0.3,1.2,,AUG,NOV,,
Banksia laevigata,shrub,perennial assumed,,1,3.5,,SEP,FEB,,
Banksia lanata,shrub,perennial assumed,,0.5,1.5,,OCT,JAN,,
Banksia laricina,shrub,perennial assumed,,0.3,2,,APR,JUL,,
Banksia lemanniana,shrub,perennial assumed,,1,5,,SEP,MAR,,
Banksia lepidorhiza,shrub,perennial assumed,,0.2,0.3,,OCT,NOV,,
Banksia leptophylla,shrub,perennial assumed,,,2.3,,JAN,DEC,,
Banksia lindleyana,shrub,perennial assumed,,1,3,,JAN,MAR,,
Banksia littoralis,shrub/tree,perennial assumed,,1.5,12,,MAR,AUG,,
Banksia lullfitzii,shrub,perennial assumed,,0.8,2,,MAR,MAY,,
Banksia media,shrub,perennial assumed,,,,,AUG,AUG,,
Banksia meganotia,shrub,perennial assumed,,0.3,1,,OCT,OCT,,
Banksia meisneri,shrub,perennial assumed,,0.4,2,,APR,SEP,,
Banksia menziesii,shrub/tree,perennial assumed,,1.3,7,,FEB,OCT,,
Banksia micrantha,shrub,perennial assumed,,0.3,0.6,,JAN,MAY,,
Banksia mimica,shrub,perennial assumed,,0.15,0.4,,DEC,FEB,,
Banksia montana,shrub,perennial assumed,,0.9,2.5,,JAN,FEB,,
Banksia mucronulata,shrub,perennial assumed,,0.5,2.5,,APR,AUG,,
Banksia nana,shrub,perennial assumed,,0.1,0.5,,OCT,OCT,,
Banksia nivea,shrub,perennial assumed,,0.15,1.5,,APR,NOV,,
Banksia nobilis,shrub,perennial assumed,,0.6,4,,JUL,OCT,,
Banksia nutans,shrub,perennial assumed,,0.3,1.3,,NOV,APR,,
Banksia obovata,shrub,perennial assumed,,0.4,2,,APR,JAN,,
Banksia obtusa,shrub,perennial assumed,,,0.2,,AUG,NOV,,
Banksia occidentalis,shrub/tree,perennial assumed,,1,7,,SEP,MAY,,
Banksia octotriginta,shrub,perennial assumed,,0.25,1,,JUL,AUG,,
Banksia oligantha,shrub,perennial assumed,,,3,,OCT,NOV,,
Banksia oreophila,shrub,perennial assumed,,0.5,3,,MAR,NOV,,
Banksia pallida,shrub,perennial assumed,,0.7,2.5,,MAY,AUG,,
Banksia pellaeifolia,shrub,perennial assumed,,,0.4,,MAY,AUG,,
Banksia petiolaris,shrub,perennial assumed,,,,,SEP,DEC,,
Banksia pilostylis,shrub,perennial assumed,,0.6,4,,OCT,JAN,,
Banksia platycarpa,shrub,perennial assumed,,0.2,1,,MAY,AUG,,
Banksia plumosa,shrub,perennial assumed,,0.45,2.5,,JAN,DEC,,
Banksia polycephala,shrub,perennial assumed,,0.75,4,,JUL,OCT,,
Banksia porrecta,shrub,perennial assumed,,0.2,0.35,,JUL,AUG,,
Banksia praemorsa,shrub,perennial assumed,,,4,,JUL,OCT,,
Banksia prionophylla,shrub,perennial assumed,,,0.6,,JUL,JUL,,
Banksia prionotes,shrub/tree,perennial assumed,,,10,,FEB,AUG,,
Banksia prolata,shrub,perennial assumed,,0.4,3,,APR,OCT,,
Banksia proteoides,shrub,perennial assumed,,0.4,3,,JUL,OCT,,
Banksia pseudoplumosa,shrub,perennial assumed,,,1.8,,NOV,DEC,,
Banksia pteridifolia,shrub,perennial assumed,,0.3,0.5,,MAR,OCT,,
Banksia pulchella,shrub,perennial assumed,,0.2,1.5,,JAN,OCT,,
Banksia purdieana,shrub,perennial assumed,,0.4,2,,JUL,SEP,,
Banksia quercifolia,shrub,perennial assumed,,0.6,3,,MAR,NOV,,
Banksia repens,shrub,perennial assumed,,,0.4,,SEP,NOV,,
Banksia rosserae,shrub,perennial assumed,,,3,,JUL,OCT,,
Banksia rufa,shrub,perennial assumed,,0.2,1.5,,JUL,OCT,,
Banksia rufistylis,shrub,perennial assumed,,,1.5,,JUL,AUG,,
Banksia scabrella,shrub,perennial assumed,,0.6,2,,SEP,JAN,,
Banksia sceptrum,shrub,perennial assumed,,1.5,5,,NOV,JAN,,
Banksia sclerophylla,shrub,perennial assumed,,0.3,1,,SEP,OCT,,
Banksia seminuda,shrub/tree,perennial assumed,,1,25,,MAR,AUG,,
Banksia seneciifolia,shrub,perennial assumed,,0.6,1,,JUN,AUG,,
Banksia serra,shrub,perennial assumed,,1,4,7,JUL,SEP,,
Banksia serratuloides,shrub,perennial assumed,,0.3,1,,JUL,SEP,,
Banksia sessilis,shrub/tree,perennial assumed,,0.5,5,8,APR,NOV,,
Banksia shanklandiorum,shrub,perennial assumed,,0.4,2.5,,JUN,AUG,,
Banksia shuttleworthiana,shrub,perennial assumed,,0.3,1,,JUN,JAN,,
Banksia solandri,shrub,perennial assumed,,0.5,4,,SEP,DEC,,
Banksia speciosa,shrub/tree,perennial assumed,,1,6,8,MAY,JAN,,
Banksia sphaerocarpa,shrub,perennial assumed,,0.4,4,,JAN,OCT,,
Banksia splendida,shrub,perennial assumed,,0.3,2,3,JUL,SEP,,
Banksia squarrosa,shrub,perennial assumed,,1,4,,JUN,NOV,,
Banksia stenoprion,shrub,perennial assumed,,,0.2,,JUN,SEP,,
Banksia strictifolia,shrub,perennial assumed,,0.5,3,,AUG,OCT,,
Banksia stuposa,shrub,perennial assumed,,1.5,3,,JAN,DEC,,
Banksia subpinnatifida,shrub,perennial assumed,,0.3,1.5,,SEP,OCT,,
Banksia subulata,shrub,perennial assumed,,,0.35,,SEP,SEP,,
Banksia telmatiaea,shrub,perennial assumed,,0.5,2,,APR,OCT,,
Banksia tenuis,shrub,perennial assumed,,0.2,1,,MAR,JUL,,
Banksia tortifolia,shrub,perennial assumed,,0.15,0.25,,AUG,OCT,,
Banksia tricuspis,shrub/tree,perennial assumed,,1.2,4,,MAR,JUL,,
Banksia tridentata,shrub,perennial assumed,,0.15,0.5,,AUG,OCT,,
Banksia trifontinalis,shrub,perennial assumed,,,2,,AUG,OCT,,
Banksia undata,shrub,perennial assumed,,0.9,3,,JUL,OCT,,
Banksia verticillata,shrub/tree,perennial assumed,,1.3,6,,JAN,APR,,
Banksia vestita,shrub,perennial assumed,,0.4,1.2,,JAN,AUG,,
Banksia victoriae,shrub/tree,perennial assumed,,2,7,,JAN,FEB,,
Banksia violacea,shrub,perennial assumed,,0.2,2,,MAY,MAR,,
Banksia viscida,shrub,perennial assumed,,0.4,1,,JUL,OCT,,
Banksia wonganensis,shrub,perennial assumed,,1.8,3,,AUG,OCT,,
Banksia xylothemelia,shrub,perennial assumed,,,1,,SEP,OCT,,
Barringtonia acutangula,shrub/tree,perennial assumed,,1.2,25,,JAN,DEC,,
Basilicum polystachyon,herb,perennial,,0.3,1.2,,MAR,JUL,,
Batis argillicola,shrub,perennial assumed,,0.2,0.7,,JUL,NOV,,
Baumea acuta,herb,perennial,,0.2,0.4,,SEP,NOV,,
Baumea arthrophylla,herb,perennial,,0.35,1.2,,SEP,NOV,,
Baumea articulata,graminoid,perennial,,1,2.6,,JAN,DEC,,
Baumea juncea,herb,perennial,,0.2,1.2,,OCT,MAR,,
Baumea preissii,herb,perennial,,0.2,2,,JUL,DEC,,
Baumea riparia,herb,perennial,,0.3,1.6,,AUG,OCT,,
Baumea rubiginosa,graminoid,perennial,,,4,,AUG,MAR,,
Baumea vaginalis,graminoid,perennial,,0.6,1.5,,OCT,NOV,,
Baxteria australis,herb,perennial,,,0.5,,DEC,FEB,,
Beaufortia aestiva,shrub,perennial assumed,,0.7,2,,6,3,,
Beaufortia anisandra,shrub,perennial assumed,,0.25,1.5,,all year,all year,,
Beaufortia bicolor,shrub,perennial assumed,,0.3,1,,11,12,,
Beaufortia bracteosa,shrub,perennial assumed,,0.3,0.8,,8,12,,
Beaufortia cyrtodonta,shrub,perennial assumed,,0.2,1.5,,7,12,,
Beaufortia decussata,shrub,perennial assumed,,1,3,,8,4,,
Beaufortia elegans,shrub,perennial assumed,,0.3,1,,8,2,,
Beaufortia empetrifolia,shrub,perennial assumed,,0.3,2,,2,12,,
Beaufortia eriocephala,shrub,perennial assumed,,0.3,0.6,,9,11,,
Beaufortia incana,shrub,perennial assumed,,0.5,2,,8,12,,
Beaufortia interstans,shrub,perennial assumed,,0.3,1.5,,all year,all year,,
Beaufortia macrostemon,shrub,perennial assumed,,0.1,0.4,,9,1,,
Beaufortia micrantha,shrub,perennial assumed,,0.2,1,,7,2,,
Beaufortia orbifolia,shrub,perennial assumed,,,3,,4,1,,
Beaufortia purpurea,shrub,perennial assumed,,0.3,1.5,,,,,
Beaufortia schaueri,shrub,perennial assumed,,0.3,1.2,,6,1,,
Beaufortia sparsa,shrub,perennial assumed,,1,3,,1,11,,
Beaufortia sprengelioides,shrub,perennial assumed,,1,2,,7,11,,
Beaufortia squarrosa,shrub,perennial assumed,,0.5,2,,all year,all year,,
Bellida graminea,herb,annual,,0.05,0.15,,SEP,OCT,,
Bentleya diminuta,herb/shrub,perennial,,0.02,0.05,,SEP,NOV,,
Bentleya spinescens,herb/shrub,perennial,,0.05,0.2,,SEP,OCT,,
Bergia ammannioides,herb,annual/perennial,,,0.4,,APR,APR,,
Bergia auriculata,herb,perennial,,,,,,,,
Bergia henshallii,herb,perennial,,,,,MAR,JUL,,
Bergia pedicellaris,herb,annual,,0.08,0.4,,MAR,OCT,,
Bergia perennis,herb,perennial,,,,,APR,OCT,,
Bergia pusilla,herb,annual,,,0.05,,JUN,JUN,,
Bergia trimera,herb,annual/perennial,,0.01,0.1,,MAR,NOV,,
Bertya dimerostigma,shrub,perennial assumed,,0.4,2,,APR,JUL,,
Bertya virgata,shrub,perennial assumed,,,1.4,,MAY,SEP,,
Beyeria brevifolia,shrub,perennial assumed,,,1.5,,,,,
Beyeria calycina,shrub,perennial assumed,,0.3,1.3,,,,,
Beyeria cinerea,shrub,perennial assumed,,0.15,0.5,1,MAY,OCT,,
Beyeria gardneri,shrub,perennial assumed,,0.25,0.5,,AUG,SEP,,
Beyeria latifolia,shrub,perennial assumed,,0.3,0.6,,OCT,OCT,,
Beyeria lechenaultii,shrub,perennial assumed,,0.5,2,,AUG,DEC,,
Beyeria lepidopetala,shrub,perennial assumed,,,0.3,,JUL,AUG,,
Beyeria opaca,shrub,perennial assumed,,,1,,,,,
Beyeria similis,shrub,perennial assumed,,0.25,0.7,,AUG,SEP,,
Beyeria viscosa,shrub,perennial assumed,,,3,,JUL,SEP,,
Billardiera coriacea,climber/shrub,,,,,,MAY,NOV,,
Billardiera drummondii,climber,,,,,,JAN,JAN,,
Billardiera floribunda,climber/shrub,,,,,,NOV,FEB,,
Billardiera fraseri,climber,,,,,,DEC,FEB,,
Billardiera fusiformis,climber,,,,,,NOV,DEC,,
Billardiera heterophylla,shrub,perennial assumed,,,,,DEC,FEB,,
Billardiera laxiflora,climber/shrub,,,,0.5,,FEB,JUN,,
Billardiera lehmanniana,climber/shrub,,,0.2,1.5,,AUG,DEC,,
Billardiera speciosa,climber,,,,,,FEB,FEB,,
Billardiera variifolia,climber/shrub,,,,2.5,,OCT,MAY,,
Billardiera venusta,climber/shrub,,,,,,DEC,FEB,,
Blackallia nudiflora,shrub,perennial assumed,,0.3,1,,,,,
Blancoa canescens,herb,perennial,,0.1,0.4,,JUN,SEP,,
Blennospora doliiformis,herb,annual,,,,,OCT,NOV,,
Blennospora drummondii,herb,annual,,0.02,0.1,,SEP,OCT,,
Blennospora phlegmatocarpa,herb,annual,,0.02,0.05,,SEP,OCT,,
Blumea axillaris,herb,,,0.5,1,,MAY,OCT,,
Blumea diffusa,herb,annual,,0.1,0.3,,APR,AUG,,
Blumea integrifolia,herb,annual,,0.05,0.4,0.6,MAY,OCT,,
Blumea mollis ( Blumea axillaris (Lam.) DC. ),herb,,,0.5,1,,MAY,OCT,,
Blumea pungens,herb,perennial,,0.6,1.5,,JUN,SEP,,
Blumea saxatilis,herb,annual,,0.3,0.75,1,APR,AUG,,
Blumea tenella,herb,annual,,0.03,0.4,,APR,AUG,,
Blyxa aubertii,herb,annual,,,,,JUN,AUG,,
Blyxa octandra,herb,annual/perennial,,,,,AUG,AUG,,
Boerhavia burbidgeana,herb/shrub,perennial,,0.3,2,,MAR,SEP,,
Boerhavia coccinea,herb,annual/perennial,,0.1,1,,JAN,DEC,,
Boerhavia dominii,herb,perennial,,0.1,1,,FEB,OCT,,
Boerhavia gardneri,herb,perennial,,0.1,0.4,,JAN,OCT,,
Boerhavia paludosa,herb,perennial,,0.3,0.8,1.3,MAR,JUL,,
Boerhavia repleta,herb,annual/perennial,,0.05,0.2,,FEB,AUG,,
Boerhavia schomburgkiana,herb,perennial,,,0.5,,FEB,NOV,,
Bolboschoenus caldwellii,graminoid,perennial,,0.3,1.2,,AUG,MAR,,
Bolboschoenus medianus,graminoid,perennial,,,,,,,,
Bombax ceiba,tree,perennial assumed,,5,20,,AUG,SEP,,deciduous
Bonamia alatisemina,herb,perennial,,,0.2,,APR,MAY,,
Bonamia brevifolia,herb,,,,0.4,,DEC,DEC,,
Bonamia erecta,shrub,perennial assumed,,,0.4,,JUL,JUL,,
Bonamia linearis,herb,perennial,,,,,JAN,NOV,,
Bonamia media,herb,,,,,,JAN,NOV,,
Bonamia oblongifolia,herb/shrub,perennial,,,,,FEB,FEB,,
Bonamia pannosa,herb,annual/perennial,,0.05,0.4,,JAN,OCT,,
Bonamia rosea,herb/shrub,perennial,,0.1,0.7,1,MAY,OCT,,
Boronia acanthoclada,shrub,perennial assumed,,,0.3,,SEP,SEP,,
Boronia adamsiana,shrub,perennial assumed,,0.3,1,,JUL,OCT,,
Boronia alata,shrub,perennial assumed,,0.3,2,3,JUL,DEC,,
Boronia albiflora,shrub,perennial assumed,,0.1,0.7,1.5,JAN,DEC,,
Boronia anceps,herb,perennial,,0.3,0.6,,SEP,JAN,,
Boronia anomala,shrub,perennial assumed,,,0.6,,JUN,JUN,,
Boronia baeckeacea,shrub,perennial assumed,,0.2,1,,MAR,DEC,,
Boronia barrettiorum,shrub,perennial assumed,,,1.5,,,,,
Boronia busselliana,herb/shrub,perennial,,0.2,0.3,0.5,SEP,OCT,,
Boronia capitata,shrub,perennial assumed,,0.15,1.3,3,JAN,DEC,,
Boronia clavata,shrub,perennial assumed,0.15,0.3,0.9,,APR,OCT,,
Boronia coerulescens,shrub,perennial assumed,0.05,0.2,0.6,1.3,APR,NOV,,
Boronia coriacea,shrub,perennial assumed,,0.1,0.6,,APR,NOV,,
Boronia corynophylla,shrub,perennial assumed,,,0.3,,,,,
Boronia crassifolia,shrub,perennial assumed,,0.1,0.3,0.6,AUG,DEC,,
Boronia crassipes,shrub,perennial assumed,,0.5,2,,AUG,SEP,,
Boronia crenulata,shrub,perennial assumed,,0.25,1.2,,MAY,FEB,,
Boronia cymosa,shrub,perennial assumed,,0.2,0.6,,FEB,NOV,,
Boronia defoliata,shrub,perennial assumed,,0.26,0.6,,SEP,NOV,,
Boronia denticulata,shrub,perennial assumed,0.25,0.5,2,,JUL,FEB,,
Boronia dichotoma,herb/shrub,perennial,,0.25,0.7,1.5,AUG,DEC,,
Boronia ericifolia,shrub,perennial assumed,,0.3,1.2,,APR,SEP,,
Boronia exilis,herb,perennial,,,1,,SEP,SEP,,
Boronia fabianoides,shrub,perennial assumed,,0.05,0.6,,JUL,DEC,,
Boronia fastigiata,shrub,perennial assumed,,,1,,SEP,DEC,,
Boronia filicifolia,shrub,perennial assumed,,,0.5,,JAN,JUN,,
Boronia gracilipes,shrub,perennial assumed,,0.3,1.2,2,JAN,DEC,,
Boronia heterophylla,shrub,perennial assumed,,1,3,5,SEP,NOV,,
Boronia humifusa,herb,perennial,,0.1,0.2,,JUN,SEP,,
Boronia inconspicua,shrub,perennial assumed,,0.15,1,,MAR,NOV,,
Boronia inornata,shrub,perennial assumed,,0.15,1.2,,MAY,DEC,,
Boronia jucunda,shrub,perennial assumed,,,0.7,,MAY,JUN,,
Boronia juncea,shrub,perennial assumed,,0.15,2,,OCT,APR,,
Boronia kalumburuensis,shrub,perennial assumed,,0.4,0.5,,MAY,JUL,,
Boronia lanuginosa,shrub,perennial assumed,,0.4,1.5,,JAN,SEP,,
Boronia megastigma,shrub,perennial assumed,,0.2,2,,JUL,OCT,,
Boronia minutipinna,shrub,perennial assumed,,,0.5,,JUL,JUL,,
Boronia molloyae,shrub,perennial assumed,,1,3,5,SEP,DEC,,
Boronia nematophylla,shrub,perennial assumed,,0.3,1,,APR,DEC,,
Boronia octandra,shrub,perennial assumed,,0.15,0.35,0.6,JUN,OCT,,
Boronia ovata,shrub,perennial assumed,0.04,0.1,0.5,,AUG,NOV,,
Boronia oxyantha,shrub,perennial assumed,,0.3,0.8,,AUG,FEB,,
Boronia pauciflora,shrub,perennial assumed,,0.4,1,,MAY,JUL,,
Boronia penicillata,shrub,perennial assumed,,0.1,0.3,,AUG,NOV,,
Boronia pulchella,shrub,perennial assumed,0.2,0.5,1.2,3,SEP,NOV,,
Boronia purdieana,shrub,perennial assumed,,0.2,1.5,,MAY,OCT,,
Boronia ramosa,shrub,perennial assumed,,,0.6,,MAY,OCT,,
Boronia revoluta,shrub,perennial assumed,,0.4,0.8,,JUL,AUG,,
Boronia scabra,shrub,perennial assumed,,0.1,0.8,,JUL,DEC,,
Boronia spathulata (Boronia anceps Paul G.Wilson),herb,perennial,,0.3,0.6,,SEP,JAN,,
Boronia stricta,shrub,perennial assumed,,0.6,2,,SEP,MAY,,
Boronia subsessilis,shrub,perennial assumed,,0.1,0.4,,MAY,JAN,,
Boronia tenuior,shrub,perennial assumed,,,2,,APR,JAN,,
Boronia tenuis,shrub,perennial assumed,,0.1,0.5,,AUG,NOV,,
Boronia ternata,shrub,perennial assumed,,0.3,2,,APR,NOV,,
Boronia tetragona,herb,perennial,,0.3,0.7,,OCT,DEC,,
Boronia tetrandra,shrub,perennial assumed,,0.1,1,1.5,MAY,OCT,,
Boronia virgata,shrub,perennial assumed,,0.3,2,,AUG,FEB,,
Boronia westringioides,shrub,perennial assumed,,0.2,0.75,,JUL,SEP,,
Boronia wilsonii,shrub,perennial assumed,,0.3,1.5,,JAN,SEP,,
Borya constricta,herb,perennial,,0.02,0.25,,JUL,OCT,,
Borya jabirabela,herb,perennial,,,0.2,,,,,
Borya laciniata,herb,perennial,,0.005,0.03,0.06,AUG,SEP,,
Borya longiscapa,herb,perennial,,,0.6,,OCT,DEC,,
Borya nitida,herb,perennial,,,0.15,,JUN,OCT,,
Borya scirpoidea,herb,perennial,,0.05,0.2,,SEP,OCT,,
Borya sphaerocephala,herb,perennial,,0.02,0.2,,AUG,OCT,,
Borya subulata,herb,perennial,,0.05,0.1,,JUN,JUN,,
Brachychiton acuminatus,tree,perennial assumed,,2.5,6,,MAY,OCT,,
Brachychiton diversifolius,tree,perennial assumed,,3,18,25,MAY,DEC,,
Brachychiton fitzgeraldianus,shrub/tree,perennial assumed,0.5,1.5,10,14,AUG,NOV,,
Brachychiton gregorii,tree,perennial assumed,,3,12,,NOV,JAN,,
Brachychiton incanus,tree,perennial assumed,,4,6,15,JUL,SEP,,
Brachychiton obtusilobus,tree,perennial assumed,,3.5,6,,AUG,SEP,,
Brachychiton tridentatus,tree,perennial assumed,,2,6,,JUN,SEP,,
Brachychiton tuberculatus,shrub/tree,perennial assumed,,2,7,,APR,NOV,,
Brachychiton viridiflorus,tree,perennial assumed,,2,8,,JUN,OCT,,
Brachychiton viscidulus,tree,perennial assumed,,2,8,,APR,JAN,,
Brachychiton xanthophyllus,tree,perennial assumed,,3,12,,MAY,DEC,,
Brachyloma delbi,shrub,perennial assumed,,,1,,MAY,MAY,,
Brachyloma mogin,shrub,perennial assumed,,,0.4,,JUN,JUN,,
Brachyloma nguba,shrub,perennial assumed,,,0.8,,APR,MAY,,
Brachyloma preissii,shrub,perennial assumed,,0.2,1,2,FEB,SEP,,
Brachyscias verecundus,herb,annual,,0.012,0.022,,,,,
Brachyscome bellidioides,herb,annual,,,0.15,,AUG,OCT,,
Brachyscome blackii,herb,perennial,,,0.4,,AUG,SEP,,
Brachyscome cheilocarpa,herb,annual,,,0.3,,JUL,OCT,,
Brachyscome ciliaris,herb,annual/perennial,,,0.4,,JAN,DEC,,
Brachyscome ciliocarpa,herb,annual,,,0.3,,JUN,OCT,,
Brachyscome exilis,herb,annual,,,0.2,,SEP,NOV,,
Brachyscome eyrensis,herb,annual,,,0.25,,SEP,NOV,,
Brachyscome glandulosa,herb,annual,,,0.25,,AUG,SEP,,
Brachyscome goniocarpa,herb,annual,,,0.06,,AUG,OCT,,
Brachyscome halophila,herb,annual,,,0.3,,AUG,OCT,,
Brachyscome iberidifolia,herb,annual,,0.05,0.45,,JUL,NOV,,
Brachyscome lineariloba,herb,annual,,,0.2,,MAY,OCT,,
Brachyscome oncocarpa,herb,annual,,,0.15,,JUL,OCT,compound,
Brachyscome perpusilla,herb,annual,,,0.18,,JUL,OCT,,
Brachyscome pusilla,herb,annual,,,0.15,,AUG,NOV,,
Brachyscome tatei,herb,perennial,,,0.2,,SEP,MAY,,
Brachyscome tesquorum,herb,perennial,,,0.45,,JUN,NOV,,
Brachyscome trachycarpa,herb,perennial,,,0.4,,JAN,DEC,,
Brachysola coerulea,shrub,perennial assumed,,0.2,0.7,0.9,MAR,DEC,,
Brachysola halganiacea,shrub,perennial assumed,,,0.5,,OCT,OCT,,
Brachystelma glabriflorum,herb,perennial,,0.2,0.6,0.8,NOV,JAN,,
Breynia cernua,shrub/tree,perennial assumed,,1,3,,DEC,JUN,,
