Genus_Species,family,Photosynthetic.pathway (confirmed using data from literature or TERN stable isotope analysis),Photosyntehtic.pathway (inferred from lineage),Photosynthetic pathway (combined),Source,Justification for inference based on lineage,Notes 
Asterolasia_trymalioides,Rutaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Asteromyrtus_symphyocarpa,Myrtaceae,C3,,C3,TRY,,
Astrebla_elymoides,Poaceae,C4,,C4,TRY,,
Astrebla_lappacea,Poaceae,C4,,C4,TRY,,
Astrebla_pectinata,Poaceae,C4,,C4,TRY,,
Astrebla_squarrosa,Poaceae,C4,,C4,TRY,,
Astroloma_ciliatum,Ericaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Astroloma_conostephioides,Ericaceae,C3,,C3,TERN SIA,,
Astroloma_humifusum,Ericaceae,C3,,C3,TRY,,
Astroloma_serratifolium,Ericaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Atalaya_hemiglauca,Sapindaceae,C3,,C3,TRY,,
Atriplex_acutibractea,Chenopodiaceae,C4,,C4,TRY,,
Atriplex_angulata,Chenopodiaceae,C4,,C4,TRY,,
Atriplex_cinerea,Chenopodiaceae,C4-CAM,,C4-CAM,TRY,,
Atriplex_elachophylla,Chenopodiaceae,C4,,C4,TRY,,
Atriplex_holocarpa,Chenopodiaceae,C4,,C4,TRY,,
Atriplex_incrassata,Chenopodiaceae,C4,,C4,TERN SIA,,
Atriplex_leptocarpa,Chenopodiaceae,C4,,C4,TRY,,
Atriplex_limbata,Chenopodiaceae,C4,,C4,TRY,,
Atriplex_lindleyi,Chenopodiaceae,C4,,C4,TRY,,
Atriplex_muelleri,Chenopodiaceae,C4,,C4,TRY,,
Atriplex_nana,Chenopodiaceae,C4,,C4,TERN SIA,,
Atriplex_nummularia,Chenopodiaceae,C4,,C4,TRY,,
Atriplex_paludosa,Chenopodiaceae,C4,,C4,TRY,,
Atriplex_rhagodioides,Chenopodiaceae,C4,,C4,TRY,,
Atriplex_semibaccata,Chenopodiaceae,C4,,C4,TRY,,
Atriplex_spongiosa,Chenopodiaceae,C4,,C4,TRY,,
Atriplex_stipitata,Chenopodiaceae,C4,,C4,TRY,,
Atriplex_suberecta,Chenopodiaceae,C4,,C4,TRY,,
Atriplex_turbinata,Chenopodiaceae,C4,,C4,TRY,,
Atriplex_velutinella,Chenopodiaceae,C4,,C4,TRY,,
Atriplex_vesicaria,Chenopodiaceae,C4,,C4,TRY,,
Austrostipa_acrociliata,Poaceae,C3,,C3,TERN SIA,,
Austrostipa_blackii,Poaceae,C3,,C3,TERN SIA,,
Austrostipa_drummondii,Poaceae,C3,,C3,TERN SIA,,
Austrostipa_elegantissima,Poaceae,C3,,C3,TERN SIA,,
Austrostipa_eremophila,Poaceae,C3,,C3,TERN SIA,,
Austrostipa_hemipogon,Poaceae,C3,,C3,TERN SIA,,
Austrostipa_lanata,Poaceae,C3,,C3,TERN SIA,,
Austrostipa_mollis,Poaceae,C3,,C3,TERN SIA,,
Austrostipa_nitida,Poaceae,C3,,C3,TERN SIA,,
Austrostipa_nivicola,Poaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Photosynthetic Pathway of other species in genus ,
Austrostipa_nodosa,Poaceae,C3,,C3,TERN SIA,,
Austrostipa_nullanulla,Poaceae,C3,,C3,TERN SIA,,
Austrostipa_platychaeta,Poaceae,C3,,C3,TERN SIA,,
Austrostipa_plumigera,Poaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Photosynthetic Pathway of other species in genus ,
Austrostipa_puberula,Poaceae,C3,,C3,TERN SIA,,
Austrostipa_scabra,Poaceae,C3,,C3,TERN SIA,,
Austrostipa_stuposa,Poaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Photosynthetic Pathway of other species in genus ,
Austrostipa_trichophylla,Poaceae,C3,,C3,TERN SIA,,
Avena_barbata,Poaceae,C3,,C3,TRY,,
Azadirachta_indica,Meliaceae,C3,,C3,TRY,,
Babingtonia_behrii,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,
Baeckea_crispiflora,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,
Baeckea_elderiana,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,
Baeckea_gunniana,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,
Baeckea_muricata,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,
Baeckea_pentagonantha,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,
Balaustion_pulcherrimum,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,
Baloskion_australe,Restionaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Banksia_alliacea,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Banksia_armata,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Banksia_attenuata,Proteaceae,C3,,C3,TRY,,
Banksia_dallanneyi,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Banksia_elderiana,Proteaceae,C3,,C3,TRY,,
Banksia_ericifolia,Proteaceae,C3,,C3,TRY,,
Banksia_grandis,Proteaceae,C3,,C3,TRY,,
Banksia_ilicifolia,Proteaceae,C3,,C3,TRY,,
Banksia_lindleyana,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Banksia_marginata,Proteaceae,C3,,C3,TRY,,
Banksia_menziesii,Proteaceae,C3,,C3,TRY,,
Banksia_nivea,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Banksia_nobilis,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Banksia_oblongifolia,Proteaceae,C3,,C3,TRY,,
Banksia_sceptrum,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Banksia_serrata,Proteaceae,C3,,C3,TRY,,
Banksia_sphaerocarpa,Proteaceae,C3,,C3,TRY,,
Banksia_spinulosa,Proteaceae,C3,,C3,TRY,,
Banksia_squarrosa,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Banksia_violacea,Proteaceae,C3,,C3,TRY,,
Barringtonia_acutangula,Lecythidaceae,C3,,C3,TRY,,
Basilicum_polystachyon,Lamiaceae,U,,C3,TRY,,
Batis_argillicola,Bataceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Bauhinia_cunninghamii,Fabaceae,C3,,C3,TRY,,
Bauhinia_gilva,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Beaufortia_aestiva,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,
Beaufortia_interstans,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,
Beaufortia_micrantha,Myrtaceae,C3,,C3,TRY,,
Beaufortia_puberula,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Beyeria_gardneri,Euphorbiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Photosynthetic Pathway of other species in genus,
Beyeria_opaca,Euphorbiaceae,C3,,C3,TRY,,
Beyeria_sulcata,Euphorbiaceae,C3,,C3,TERN SIA,,
Bidens_bipinnata,Asteraceae,C3,,C3,TRY,,
Bidens_subalternans,Asteraceae,C3,,C3,TRY,,
Blennodia_canescens,Brassicaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Blepharocarya_depauperata,Anacardiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Blumea_tenella,Asteraceae,C3,,C3,TERN SIA,,
Boerhavia_coccinea,Nyctaginaceae,C4,,C4,TRY,,
Boerhavia_dominii,Nyctaginaceae,C4,,C4,TRY,,
Bolboschoenus_caldwellii,Cyperaceae,U,C3,C3,Bruhl and Wilson 2007,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Bonamia_brevifolia,Convolvulaceae,C3,,C3,TRY,,
Boronia_coerulescens,Rutaceae,C3,,C3,TRY,,
Boronia_decumbens,Rutaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Boronia_lanceolata,Rutaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Boronia_ledifolia,Rutaceae,C3,,C3,TRY,,
Boronia_microphylla,Rutaceae,C3,,C3,TRY,,
Boronia_ramosa,Rutaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Boronia_ternata,Rutaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Bossiaea_bossiaeoides,Fabaceae,C3,,C3,TRY,,
Bossiaea_ensata,Fabaceae,C3,,C3,TRY,,
Bossiaea_eriocarpa,Fabaceae,C3,,C3,TRY,,
Bossiaea_heterophylla,Fabaceae,C3,,C3,TRY,,
Bossiaea_linophylla,Fabaceae,C3,,C3,TRY,,
Bossiaea_obcordata,Fabaceae,C3,,C3,TRY,,
Bossiaea_ornata,Fabaceae,C3,,C3,TRY,,
Bossiaea_praetermissa,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Bossiaea_prostrata,Fabaceae,C3,,C3,TRY,,
Bossiaea_rhombifolia,Fabaceae,C3,,C3,TRY,,
Bossiaea_scolopendria,Fabaceae,C3,,C3,TRY,,
Bossiaea_sericea,Fabaceae,C3,,C3,TRY,,
Bossiaea_walkeri,Fabaceae,C3,,C3,TRY,,
Bothriochloa_bladhii,Poaceae,C4,,C4,TRY,,
Bothriochloa_ewartiana,Poaceae,C4,,C4,TRY,,
Bothriochloa_macra,Poaceae,C4,,C4,TRY,,
Bothriochloa_pertusa,Poaceae,C4,,C4,TRY,,
Brachyachne_convergens,Poaceae,C4,,C4,TRY,,
Brachyachne_tenella,Poaceae,C4,,C4,TRY,,
Brachychiton_diversifolius,Malvaceae,C3,,C3,TRY,,
Brachychiton_megaphyllus,Malvaceae,C3,,C3,TRY,,
Brachychiton_paradoxus,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Brachychiton_populneus,Malvaceae,C3,,C3,TRY,,
Brachypodium_distachyon,Poaceae,C3,,C3,TRY,,
Brachyscome_ciliaris,Asteraceae,C3,,C3,TERN SIA,,
Brachyscome_decipiens,Asteraceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Photosynthetic Pathway of other species in genus; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Brachyscome_dentata,Asteraceae,C3,,C3,TERN SIA,,
Brachyscome_foliosa,Asteraceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Photosynthetic Pathway of other species in genus; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Brachyscome_iberidifolia,Asteraceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Photosynthetic Pathway of other species; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Brachyscome_lineariloba,Asteraceae,C3,,C3,TERN SIA,,
Brachyscome_multifida,Asteraceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,TERN SIA of other species; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Brachyscome_scapigera,Asteraceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Photosynthetic Pathway of other species; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Brachyscome_spathulata,Asteraceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Photosynthetic Pathway of other species; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Brachyscome_tadgelii,Asteraceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Photosynthetic Pathway of other species; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Brassica_fruticulosa,Brassicaceae,C3,,C3,TRY,,
Brassica_tournefortii,Brassicaceae,C3,,C3,TERN SIA,,
Breynia_oblongifolia,Phyllanthaceae,C3,,C3,TRY,,
Briza_maxima,Poaceae,C3,,C3,TRY,,
Briza_minor,Poaceae,C3,,C3,TRY,,
Bromus_arenarius,Poaceae,C3,,C3,TRY,,
Bromus_diandrus,Poaceae,C3,,C3,TRY,,
Bromus_madritensis,Poaceae,C3,,C3,TRY,,
Bromus_rubens,Poaceae,C3,,C3,TERN SIA,,
Brunonia_australis,Goodeniaceae,C3,,C3,TERN SIA,,
Buchanania_obovata,Anacardiaceae,C3,,C3,TRY,,
Bulbine_alata,Asphodelaceae,C3,,C3,TERN SIA,,
Bulbine_bulbosa,Asphodelaceae,C3,,C3,TRY,,
Bulbostylis_barbata,Cyperaceae,C4,,C4,TRY,,
Bulbostylis_turbinata,Cyperaceae,C4,,C4,TRY,,
Burchardia_umbellata,Colchicaceae,C3,,C3,TRY,,
Bursaria_spinosa,Pittosporaceae,C3,,C3,TERN SIA,,
Caesia_calliantha,Hemerocallidaceae,C3,,C3,TRY,,
Calandrinia_baccata,Montiaceae,C3,,C3,Hancock et al 2019; TERN SIA,,"Isotope values indicate C3, but further physiological research might indicate facultative CAM"
Calandrinia_balonensis,Montiaceae,C3-CAM,,C3-CAM,TERN SIA; Hancook et al 2019,,"Hankcock et al. 2019 isotope value indicates C3, our isotope values suggest C3/CAM, requires detailed physiological investigation to confirm"
Calandrinia_calyptrata,Montiaceae,C3-CAM,,C3-CAM,Hancock et al 2019; TERN SIA,,
Calandrinia_eremaea,Montiaceae,C3,,C3,TERN SIA; Hancock et al 2019,,
Calandrinia_flava,Montiaceae,C3-CAM,,C3-CAM,Hancock et al 2019,,
Calandrinia_ptychosperma,Montiaceae,C3-CAM,,C3-CAM,Pate et al 1998; Hancock et al 2019,,
Calandrinia_pumila,Montiaceae,C3-CAM,,C3-CAM,Hancock et al 2019,,
Calandrinia_stagnensis,Montiaceae,C3-CAM,,C3-CAM,TERN SIA; Hancock et al 2019; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,,
Calandrinia_uniflora,Montiaceae,C3-CAM,,C3-CAM,Hancock et al 2019; TERN SIA,,
Callicoma_serratifolia,Cunoniaceae,C3,,C3,TRY,,
Callistemon_phoeniceus,Myrtaceae,C3,,C3,TRY,,
Callitris_columellaris,Cupressaceae,C3,,C3,TRY,,
Callitris_endlicheri,Cupressaceae,C3,,C3,TRY,,
Callitris_glaucophylla,Cupressaceae,C3,,C3,TRY,,
Callitris_gracilis,Cupressaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4/CAM species in this lineage; Other known species in this lineage (genus) are almost exclusviely C3,
Callitris_intratropica,Cupressaceae,C3,,C3,TRY,,
Callitris_preissii,Cupressaceae,C3,,C3,TRY,,
Callitris_rhomboidea,Cupressaceae,C3,,C3,TRY,,
Callitris_verrucosa,Cupressaceae,C3,,C3,TRY,,
Calocephalus_beardii,Asteraceae,C3,,C3,TERN SIA,,
Calocephalus_platycephalus,Asteraceae,C3,,C3,TERN SIA,,
Calostemma_purpureum,Amaryllidaceae,C3,,C3,TRY,,
Calothamnus_chrysanthereus,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Calothamnus_gilesii,Myrtaceae,C3,,C3,TRY,,
Calothamnus_glaber,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Calothamnus_quadrifidus,Myrtaceae,C3,,C3,TRY,,
Calotis_breviradiata,Asteraceae,C3,,C3,TERN SIA,,
Calotis_cymbacantha,Asteraceae,C3,,C3,TERN SIA,,
Calotis_erinacea,Asteraceae,C3,,C3,TERN SIA,,
Calotis_hispidula,Asteraceae,C3,,C3,TERN SIA; Pate et al 1998,,
Calotis_multicaulis,Asteraceae,C3,,C3,TERN SIA,,
Calotis_plumulifera,Asteraceae,C3,,C3,TERN SIA,,
Calytrix_achaeta,Myrtaceae,C3,,C3,TRY,,
Calytrix_birdii,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Calytrix_brevifolia,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Calytrix_breviseta,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Calytrix_brownii,Myrtaceae,C3,,C3,TRY,,
Calytrix_carinata,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Calytrix_creswellii,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Calytrix_exstipulata,Myrtaceae,C3,,C3,TRY,,
Calytrix_flavescens,Myrtaceae,C3,,C3,TRY,,
Calytrix_formosa,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Calytrix_fraseri,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Calytrix_leschenaultii,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Calytrix_tetragona,Myrtaceae,C3,,C3,TRY,,
Calytrix_violacea,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Campylopus_introflexus,Leucobryaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Capillipedium_parviflorum,Poaceae,C4,,C4,TRY,,
Capparis_lasiantha,Capparaceae,C3,,C3,TRY,,
Capparis_umbonata,Capparaceae,C3,,C3,TRY,,
Cardamine_lilacina,Brassicaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
