Species,family,Photosynthetic.pathway (confirmed using data from literature or TERN stable isotope analysis),Photosyntehtic.pathway (inferred from lineage),Photosynthetic pathway (combined),Source,Justification for inference based on lineage,Notes,longitude (deg),latitude (deg),site_name
Allopterigeron filifolius,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,143.1575194,-16.84805833,site_at_-16.848_deg_lat_143.158_deg_long
Alloteropsis semialata,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Alphitonia excelsa,Rhamnaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Alternanthera denticulata,Amaranthaceae,C3-C4,NA,C3-C4,TRY,NA,NA,NA,NA,no site data
Alternanthera nana,Amaranthaceae,C3-C4,NA,C3-C4,TRY,NA,NA,NA,NA,no site data
Alternanthera nodiflora,Amaranthaceae,C4,NA,C4,Sage et al 2007,NA,NA,NA,NA,no site data
Aluta maisonneuvei,Myrtaceae,C3,NA,C3,TERN SIA,NA,NA,136.3070278,-25.30979167,site_at_-25.31_deg_lat_136.307_deg_long
Alyogyne pinoniana,Malvaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Alyxia buxifolia,Apocynaceae,C3,NA,C3,TERN SIA,NA,"C3 and CAM are in this family, numerous genera untested; further testing of anatomy justified as isotope values may not be comprehensive",138.7031889,-34.50430556,site_at_-34.504_deg_lat_138.703_deg_long
Amaranthus mitchellii,Amaranthaceae,C4,NA,C4,Sage et al 2007,NA,NA,NA,NA,no site data
Ampelocissus frutescens,Vitaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Tree; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Amperea xiphoclada,Euphorbiaceae,C3,NA,C3,TRY,NA,NA,150.6259167,-33.59470556,site_at_-33.595_deg_lat_150.626_deg_long
Amphipogon caricinus,Poaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Amphipogon strictus,Poaceae,C3,NA,C3,TERN SIA,NA,NA,119.1428361,-32.814725,site_at_-32.815_deg_lat_119.143_deg_long
Amphipogon turbinatus,Poaceae,C3,NA,C3,TRY,NA,NA,115.7134833,-31.37548611,site_at_-31.375_deg_lat_115.713_deg_long
Amyema fitzgeraldii,Loranthaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Amyema hilliana,Loranthaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Amyema maidenii,Loranthaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Amyema miquelii,Loranthaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Amyema miraculosa,Loranthaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,AusTraits,NA,NA,NA,no site data
Amyema quandang,Loranthaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Amyema villiflora,Loranthaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Anagallis arvensis,Primulaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Anarthria prolifera,Anarthriaceae,U,C3,C3,Sage 2016 (and references therein);Ehleringer and Monson 1993,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Anarthria scabra,Anarthriaceae,U,C3,C3,Sage 2016 (and references therein);Ehleringer and Monson 1993,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Androcalva loxophylla,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Anemocarpa podolepidium,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,141.6973686,-31.08023472,site_at_-31.08_deg_lat_141.697_deg_long
Angianthus conocephalus,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,125.8610556,-31.69906944,site_at_-31.699_deg_lat_125.861_deg_long
Angianthus tomentosus,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,138.9593701,-34.00513798,site_at_-34.005_deg_lat_138.959_deg_long
Angophora costata,Myrtaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Angophora hispida,Myrtaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Anigozanthos humilis,Haemodoraceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Anisomeles inodora,Lamiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Anisopogon avenaceus,Poaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Anthobolus leptomerioides,Santalaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Anthoxanthum odoratum,Poaceae,C3,NA,C3,Metcalfe 1960; Watson and Dallwitz 1992 onwards,NA,NA,NA,NA,no site data
Antidesma ghaesembilla,Phyllanthaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Aphanes arvensis,Rosaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards; Pate et al 1998,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Aphyllodium biarticulatum,Fabaceae,C3,NA,C3,TERN SIA,NA,NA,141.827775,-19.93981944,site_at_-19.94_deg_lat_141.828_deg_long
Apophyllum anomalum,Capparaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Arabidella nasturtium,Brassicaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards; Pate et al 1998,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Archidendropsis basaltica,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Argyrotegium fordianum,Asteraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Argyrotegium nitidulum,Asteraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Aristida anthoxanthoides,Poaceae,C4,NA,C4,TERN SIA,NA,NA,141.7644319,-31.90113361,site_at_-31.901_deg_lat_141.764_deg_long
Aristida arida,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Aristida biglandulosa,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Aristida calycina,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Aristida contorta,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Aristida dominii,Poaceae,C4,NA,C4,TERN SIA,NA,NA,143.1575194,-16.84805833,site_at_-16.848_deg_lat_143.158_deg_long
Aristida holathera,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Aristida inaequiglumis,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Aristida ingrata,Poaceae,C4,NA,C4,TERN SIA,NA,NA,135.4090222,-15.5381,site_at_-15.538_deg_lat_135.409_deg_long
Aristida jerichoensis,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Aristida latifolia,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Aristida longicollis,Poaceae,C4,NA,C4,TERN SIA,NA,NA,132.2700917,-13.55729167,site_at_-13.557_deg_lat_132.27_deg_long
Aristida nitidula,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Aristida obscura,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Aristida perniciosa,Poaceae,C3,NA,C3,TERN SIA,NA,NA,137.0723639,-17.89570556,site_at_-17.896_deg_lat_137.072_deg_long
Aristida pruinosa,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Aristida ramosa,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Aristida utilis,Poaceae,C4,NA,C4,TERN SIA,NA,NA,134.3554806,-14.17696111,site_at_-14.177_deg_lat_134.355_deg_long
Arrhenechthites mixtus,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,150.2511944,-33.31101111,site_at_-33.311_deg_lat_150.251_deg_long
Arthropodium fimbriatum,Asparagaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Arthropodium strictum,Asparagaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Arthrostylis aphylla,Cyperaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Arundinella nepalensis,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Arundinella setosa,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Asparagus asparagoides,Asparagaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Asperula gunnii,Rubiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Asperula pusilla,Rubiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Asphodelus fistulosus,Asphodelaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Astelia alpina,Asteliaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Asterolasia trymalioides,Rutaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Asteromyrtus symphyocarpa,Myrtaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Astrebla elymoides,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Astrebla lappacea,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Astrebla pectinata,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Astrebla squarrosa,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Astroloma ciliatum,Ericaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Astroloma conostephioides,Ericaceae,C3,NA,C3,TERN SIA,NA,NA,138.8613444,-34.60900833,site_at_-34.609_deg_lat_138.861_deg_long
Astroloma humifusum,Ericaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Astroloma serratifolium,Ericaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Atalaya hemiglauca,Sapindaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Atriplex acutibractea,Chenopodiaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Atriplex angulata,Chenopodiaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Atriplex cinerea,Chenopodiaceae,C4-CAM,NA,C4-CAM,TRY,NA,NA,NA,NA,no site data
Atriplex elachophylla,Chenopodiaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Atriplex holocarpa,Chenopodiaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Atriplex incrassata,Chenopodiaceae,C4,NA,C4,TERN SIA,NA,NA,NA,NA,no site data
Atriplex leptocarpa,Chenopodiaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Atriplex limbata,Chenopodiaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Atriplex lindleyi,Chenopodiaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Atriplex muelleri,Chenopodiaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Atriplex nana,Chenopodiaceae,C4,NA,C4,TERN SIA,NA,NA,NA,NA,no site data
Atriplex nummularia,Chenopodiaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Atriplex paludosa,Chenopodiaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Atriplex rhagodioides,Chenopodiaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Atriplex semibaccata,Chenopodiaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Atriplex spongiosa,Chenopodiaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Atriplex stipitata,Chenopodiaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Atriplex suberecta,Chenopodiaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Atriplex turbinata,Chenopodiaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Atriplex velutinella,Chenopodiaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Atriplex vesicaria,Chenopodiaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Austrostipa acrociliata,Poaceae,C3,NA,C3,TERN SIA,NA,NA,138.0801417,-33.48902778,site_at_-33.489_deg_lat_138.08_deg_long
Austrostipa blackii,Poaceae,C3,NA,C3,TERN SIA,NA,NA,138.3932722,-33.55308333,site_at_-33.553_deg_lat_138.393_deg_long
Austrostipa drummondii,Poaceae,C3,NA,C3,TERN SIA,NA,NA,131.2667917,-31.482375,site_at_-31.482_deg_lat_131.267_deg_long
Austrostipa elegantissima,Poaceae,C3,NA,C3,TERN SIA,NA,NA,137.2442722,-32.98011944,site_at_-32.98_deg_lat_137.244_deg_long
Austrostipa eremophila,Poaceae,C3,NA,C3,TERN SIA,NA,NA,131.2773722,-31.39337222,site_at_-31.393_deg_lat_131.277_deg_long
Austrostipa hemipogon,Poaceae,C3,NA,C3,TERN SIA,NA,NA,138.9593701,-34.00513798,site_at_-34.005_deg_lat_138.959_deg_long
Austrostipa lanata,Poaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Austrostipa mollis,Poaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Austrostipa nitida,Poaceae,C3,NA,C3,TERN SIA,NA,NA,141.6973686,-31.08023472,site_at_-31.08_deg_lat_141.697_deg_long
Austrostipa nivicola,Poaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Photosynthetic Pathway of other species in genus,NA,NA,NA,no site data
Austrostipa nodosa,Poaceae,C3,NA,C3,TERN SIA,NA,NA,120.6429056,-30.43612778,site_at_-30.436_deg_lat_120.643_deg_long
Austrostipa nullanulla,Poaceae,C3,NA,C3,TERN SIA,NA,NA,139.4859286,-34.35790194,site_at_-34.358_deg_lat_139.486_deg_long
Austrostipa platychaeta,Poaceae,C3,NA,C3,TERN SIA,NA,NA,138.0801417,-33.48902778,site_at_-33.489_deg_lat_138.08_deg_long
Austrostipa plumigera,Poaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Photosynthetic Pathway of other species in genus,NA,NA,NA,no site data
Austrostipa puberula,Poaceae,C3,NA,C3,TERN SIA,NA,NA,131.3066306,-31.51117778,site_at_-31.511_deg_lat_131.307_deg_long
Austrostipa scabra,Poaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Austrostipa stuposa,Poaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Photosynthetic Pathway of other species in genus,NA,NA,NA,no site data
Austrostipa trichophylla,Poaceae,C3,NA,C3,TERN SIA,NA,NA,138.7031889,-34.50430556,site_at_-34.504_deg_lat_138.703_deg_long
Avena barbata,Poaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Azadirachta indica,Meliaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Babingtonia behrii,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Baeckea crispiflora,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Baeckea elderiana,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Baeckea gunniana,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Baeckea muricata,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Baeckea pentagonantha,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Balaustion pulcherrimum,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Baloskion australe,Restionaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Banksia alliacea,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Banksia armata,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Banksia attenuata,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Banksia dallanneyi,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Banksia elderiana,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Banksia ericifolia,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Banksia grandis,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Banksia ilicifolia,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Banksia lindleyana,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Banksia marginata,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Banksia menziesii,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Banksia nivea,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Banksia nobilis,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Banksia oblongifolia,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Banksia sceptrum,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Banksia serrata,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Banksia sphaerocarpa,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Banksia spinulosa,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Banksia squarrosa,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Banksia violacea,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Barringtonia acutangula,Lecythidaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Basilicum polystachyon,Lamiaceae,U,NA,C3,TRY,NA,NA,NA,NA,no site data
Batis argillicola,Bataceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Bauhinia cunninghamii,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Bauhinia gilva,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Beaufortia aestiva,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Beaufortia interstans,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Beaufortia micrantha,Myrtaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Beaufortia puberula,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Beyeria gardneri,Euphorbiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Photosynthetic Pathway of other species in genus,NA,NA,NA,no site data
Beyeria opaca,Euphorbiaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Beyeria sulcata,Euphorbiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
