species,herbarium voucher,native to,voucher location,lat,long,alt,leaf type,stomatal distribution,habitat,woodiness,habit,Guard cell length,Total vein density (mm/mm2),leaf mass per unit area gm-2,total stomatal density (mm-2),adaxial stomatal density (mm-2),adaxial stomatal density (mm-2),dense hairs covering the stomata,tightly revolute leaves (1=linear leaves with revolute margins appressed to either midrib or other margin,deep longitudinal grooves etc (n=none;g=grooves;(g) grooves but stomata not restricted to grooves),Banksia-type pits,hakea-type pits,telopea-type papillae,lamina thickness (microns),epidermal width (microns),palisade width (microns),epidermal cell density,stomatal index,leaf area (cm2),adult leaf type,juvenile leaf type,leaf form,adaxial hypodermis,adaxial cuticle thickness (microns),ad papillae5,ad trichomes,ab hypo,ab cut thick,bundle sheath extensions,lignified margins,sclereids at vein endings,sclereids protruding from bundle sheaths,bundle sheaths 1= large parenchyma-like cells; 3=bundles sheaths surrounded by sclereids; 4= bundles embedded in a lignified core,crystals in mesophyll,hypodermal structures (0=no specialised structure; 1 = lignified adaxial hypodermis; 2 = lignified abaxial hypodermis; 3 = hypodermis of extension of bundle sheath extensions; 4=Orites milliganii upper type; 5 = Orites milliganii lower type; 6 = ideosclereids extending under adaxial hypodermis),compound midribs,ideosclereids (0=absent; 1=ordinary; 2= branched; 3=asterosclereids; 4=osteosclereids;5=dense clusters of sclereids),clade,group,veg type,"stomatal distribution (amphistomatic, hypostomatic or unevenly amphistomatic [=""functionally hypostomatic"")"
Banksia ilicifolia,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia insulanemorecincta,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia ionthocarpa,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia lepidorhiza,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia littoralis,,,,,,,,,,woody,perennial,,,,,,,y,n,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia meganotia,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia montana,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia obovata,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia octotriginta,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia oligantha,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia pallida,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia pellaeifolia,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia platycarpa,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia porrecta,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia pseudoplumosa,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia purdieana,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia quercifolia,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,hypostomatic,1,9,0,0,1,5,1,0,0,0,3,0,"1,2,3",1,0,,,open,hypo
Banksia repens,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia rufistylis,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia sclerophylla,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia shanklandiorum,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia splendida,,,,,,,,,,woody,perennial,,,,,,,y,y/n,n,1,0,0,,,,,,,,,hypostomatic,,,,,0,,,0,,,,,,,,,,open,hypo
Banksia stenoprion,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia strictifolia,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia subpinnatifida,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia tortifolia,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia tridentata,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia trifontinalis,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia viscida,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia wonganensis,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Banksia xylothemelia,,,,,,,,,,woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Conospermum boreale,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Conospermum bracteosum,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Conospermum burgessiorum,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Conospermum caniculatum,,,,,,,,,,woody,perennial,,,,,,,n/y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conospermum capitatum,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Conospermum cinereum,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Conospermum coerulescens,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Conospermum crassinervium,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Conospermum croniniae,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Conospermum densiflorum,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Conospermum eatoniae,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Conospermum ellipticum,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Conospermum elongatum,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Conospermum ephedroides,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Conospermum ericifolium,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Conospermum filifolium,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Conospermum floribundum,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Conospermum galeatum,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Conospermum huegelii,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Conospermum incurvum,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Conospermum microflorum,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Conospermum multispicatum,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Conospermum paniculatum,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Conospermum petiolare,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Conospermum polycephalum,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Conospermum quadripetalum,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Conospermum scaposum,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Conospermum sigmoideum,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Conospermum spectabile,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Conospermum sphacelatum,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Conospermum tenuifolium,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Conospermum teretifolium,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Conospermum toddii,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Conospermum undulatum,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Conospermum unilaterale,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Conospermum wycherleyi,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea acacioides,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grevillea acerata,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea acrobotrya,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea acropogon,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea acuaria,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Grevillea adenotricha,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grevillea albiflora,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea alpivaga,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea althoferorum,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea anethifolia,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea aneura,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea annulifera,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea arenaria,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea argyrophylla,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea armigera,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea aspera,HO528934,,"St Marys Peak, side. Flinders Ranges",-31.481902,147.567566,800,,,,woody,perennial,26,,425.5141511,,,,y,n,n,0,0,0,365,,,,,2.108038,,,hypostomatic,0,28,0,0,0,4,1,0,0,0,3,0,0,1,0,,,open,hypo
Grevillea asteriscosa,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea aurea,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grevillea banyabba,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea batrachioides,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea baueri,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea baxteri,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea beadleana,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea beardiana,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea bedggoodiana,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea benthamiana,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea berryana,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea biformis,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,amphi
Grevillea bipinnatifida,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea biternata,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea brachystachya,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Grevillea brachystylis,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea bracteosa,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Grevillea brevifolia,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea brevis,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grevillea bronwenae,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea byrnesii,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grevillea cagiana,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea calcicola,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea calliantha,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea candelabroides,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea candicans,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea candolleana,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea celata,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea centristigma,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea ceratocarpa,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea cheilocarpa,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grevillea christinae,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea cirsiifolia,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grevillea coccinea,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea corrugata,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea costata,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea crassifolia,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea cravenii,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea crithmifolia,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea crowleyae,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea cunninghamii,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grevillea curviloba,,,,,,,,,,woody,perennial,,,,,,,n/y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea cyranostigma,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea decipiens,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea decurrens,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea deflexa,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea delta,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea didymobotrya,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,amphi
Grevillea diffusa,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea diminuta,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea dissecta,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea divaricata,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea dolichopoda,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea donaldiana,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grevillea drummondii,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea dryandri,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea dryandroides,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea dryophylla,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea dunlopii,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea elongata,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea endlicheriana,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grevillea epicroca,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea erectiloba,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea eremophila,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grevillea erinacea,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea eriobotrya,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea eriostachya,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea erythroclada,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea evanescens,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea evansiana,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea excelsior,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea exposita,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea extorris,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea fasciculata,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea fastigiata,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea fililoba,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea fistulosa,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea flexuosa,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea floribunda,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea florida,,,,,,,,,,woody,perennial,,,,,,,y/n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea formosa,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea fulgens,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea fuscolutea,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea gariwerdensis,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea georgeana,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea glabrescens,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grevillea globosa,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea glossadenia,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea goodii,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea gordoniana,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grevillea granulifera,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea guthrieana,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea hakeoides,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Grevillea halmaturina,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea heliosperma,,,,,,,,,,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Grevillea helmsiae,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea hirtella,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea hockingsii,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea hodgei,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea humifusa,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea humilis,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea iaspicula,,,,,,,,,open,woody,perennial,,,,,,,n,n,n,0,0,0,,,,,,,,,hypostomatic,0,6,0,0,0,2,0,0,0,0,2,0,0,0,0,,,open,hypo
Grevillea imberbis,,,,,,,,,,woody,perennial,,,,,,,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
Grevillea inconspicua,,,,,,,,,,woody,perennial,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,
